origID,order,trial,probeNumber,response,mw_response,mw_intent,condition,passage
12533374,Digital first,10,10,Unintentional,1,0,Digital,6
12533374,Digital first,11,11,On Task,0,NA,Digital,8
12533374,Digital first,12,12,On Task,0,NA,Digital,8
12533374,Digital first,13,13,Unintentional,1,0,Digital,8
12533374,Digital first,1,14,Intentional,1,1,Physical,1
12533374,Digital first,2,15,On Task,0,NA,Physical,1
12533374,Digital first,3,16,On Task,0,NA,Physical,1
12533374,Digital first,4,17,Unintentional,1,0,Physical,1
12533374,Digital first,5,18,Unintentional,1,0,Physical,1
12533374,Digital first,6,19,On Task,0,NA,Physical,1
12533374,Digital first,7,20,On Task,0,NA,Physical,1
12533374,Digital first,8,21,Intentional,1,1,Physical,3
12533374,Digital first,9,22,On Task,0,NA,Physical,3
12533374,Digital first,10,23,On Task,0,NA,Physical,5
12533374,Digital first,11,24,Unintentional,1,0,Physical,5
12533374,Digital first,12,25,On Task,0,NA,Physical,5
12533374,Digital first,13,26,On Task,0,NA,Physical,7
12533374,Digital first,14,27,On Task,0,NA,Physical,7
12533379,Digital first,1,1,On Task,0,NA,Digital,2
12533379,Digital first,2,2,On Task,0,NA,Digital,2
12533379,Digital first,3,3,Unintentional,1,0,Digital,4
12533379,Digital first,4,4,On Task,0,NA,Digital,4
12533379,Digital first,5,5,On Task,0,NA,Digital,4
12533379,Digital first,6,6,On Task,0,NA,Digital,4
12533379,Digital first,7,7,On Task,0,NA,Digital,6
12533379,Digital first,8,8,On Task,0,NA,Digital,6
12533379,Digital first,9,9,On Task,0,NA,Digital,6
12533379,Digital first,10,10,On Task,0,NA,Digital,6
12533379,Digital first,11,11,Unintentional,1,0,Digital,8
12533379,Digital first,12,12,Unintentional,1,0,Digital,8
12533379,Digital first,13,13,On Task,0,NA,Digital,8
12533379,Digital first,1,14,Unintentional,1,0,Physical,1
12533379,Digital first,2,15,Unintentional,1,0,Physical,1
12533379,Digital first,3,16,On Task,0,NA,Physical,1
12533379,Digital first,4,17,On Task,0,NA,Physical,1
