origID,order,trial,response,mw_response,mw_intent,condition
12533376,Physical first,4,On Task,0,NA,Digital
12533376,Physical first,5,Intentional,1,1,Digital
12533376,Physical first,6,On Task,0,NA,Digital
12533376,Physical first,7,On Task,0,NA,Digital
12533376,Physical first,8,On Task,0,NA,Digital
12533376,Physical first,9,On Task,0,NA,Digital
12533376,Physical first,10,Unintentional,1,0,Digital
12533376,Physical first,11,Unintentional,1,0,Digital
12533376,Physical first,12,Intentional,1,1,Digital
12533376,Physical first,13,Intentional,1,1,Digital
12533378,Physical first,1,On Task,0,NA,Physical
12533378,Physical first,2,Unintentional,1,0,Physical
12533378,Physical first,3,Unintentional,1,0,Physical
12533378,Physical first,4,On Task,0,NA,Physical
