Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
11,1716654824319,25/05/2024 16:33:44,1716658424319,1,25/05/2024 18:33:44,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,1,passages,Sentences,3emlxf,1,response,space,472.6999999284744,466.5,472.6999999284744,472.6999999284744,466.5,472.6999999284744,1,472.6999999284744,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,0,Passage 1,0,Easy,2,2,,,,,,,,,,,,
12,1716654824674,25/05/2024 16:33:44,1716658424674,1,25/05/2024 18:33:44,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,2,passages,Sentences,3emlxf,1,response,space,360.6999999284744,350.2000000000007,360.6999999284744,360.6999999284744,350.2000000000007,360.6999999284744,1,360.6999999284744,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,1,Elizabeth Barrett was wise enough to see that Browning was a fine poet.,0,Easy,2,2,,,,,,,,,,,,
13,1716654825031,25/05/2024 16:33:45,1716658425031,1,25/05/2024 18:33:45,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,3,passages,Sentences,3emlxf,1,response,space,366,349.5,366,366,349.5,366,1,366,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,2,"The young man with the lemon-colored gloves and long dark hair and high-strung, restless manner who had visited her in 1846 had been moved to write to her because she had praised his poetry.",1,Easy,2,2,,,,,,,,,,,,
14,1716654826236,25/05/2024 16:33:46,1716658426236,1,25/05/2024 18:33:46,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,1,probe,Thought probe,muxvwp,1,response,On Task,1223.0999999523156,1216.699999999999,1223.0999999523156,1223.0999999523156,1216.699999999999,1223.0999999523156,1,1223.0999999523156,0,0,,Click Response,On Task,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,
15,1716654826828,25/05/2024 16:33:46,1716658426828,1,25/05/2024 18:33:46,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,4,passages,Sentences,3emlxf,1,response,space,598.1999999046329,583.7000000000007,598.1999999046329,598.1999999046329,583.7000000000007,598.1999999046329,1,598.1999999046329,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,3,"She found the man even more to her liking than the verse, and it was not so very long-only the time between May, 1845 and September, 1846-before Robert Browning had stolen the poetess from the dour father who guarded her like a dragon (never wanting her to marry any man), and taken her with him to Italy and a new life.",1,Easy,2,2,,,,,,,,,,,,
16,1716654827538,25/05/2024 16:33:47,1716658427538,1,25/05/2024 18:33:47,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,2,probe,Thought probe,muxvwp,1,response,Intentional,724.4999999046322,716.2999999999993,724.4999999046322,724.4999999046322,716.2999999999993,724.4999999046322,1,724.4999999046322,0,0,,Click Response,Intentional,3,object-82,probe,,,,,,,,,,,,,,,,,,,,,
17,1716654827916,25/05/2024 16:33:47,1716658427916,1,25/05/2024 18:33:47,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,5,passages,Sentences,3emlxf,1,response,space,386.2999999284748,383.60000000000036,386.2999999284748,386.2999999284748,383.60000000000036,386.2999999284748,1,386.2999999284748,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,4,"One morning, soon after Robert and Elizabeth married; she thrust a manuscript into Robert’s pocket.",0,Easy,2,2,,,,,,,,,,,,
18,1716654828359,25/05/2024 16:33:48,1716658428359,1,25/05/2024 18:33:48,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,6,passages,Sentences,3emlxf,1,response,space,445.7999999523163,433.10000000000036,445.7999999523163,445.7999999523163,433.10000000000036,445.7999999523163,1,445.7999999523163,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,5,"Then she ran up to her room, embarrassed by her action.",0,Easy,2,2,,,,,,,,,,,,
19,1716654828636,25/05/2024 16:33:48,1716658428636,1,25/05/2024 18:33:48,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,7,passages,Sentences,3emlxf,1,response,space,289.2999999761578,283.7999999999993,289.2999999761578,289.2999999761578,283.7999999999993,289.2999999761578,1,289.2999999761578,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,6,The manuscript was a sonnet sequence that she had written about their courtship and their love letters.,0,Easy,2,2,,,,,,,,,,,,
20,1716654828922,25/05/2024 16:33:48,1716658428922,1,25/05/2024 18:33:48,179131,9,task-353c,,37857916,,11148998,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1536x864,1528x742,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,set2,set2,8,passages,Sentences,3emlxf,1,response,space,291.7999999284748,283.10000000000036,291.7999999284748,291.7999999284748,283.10000000000036,291.7999999284748,1,291.7999999284748,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,7,"Mrs. Browning never intended for these poems to be published, but Robert promptly insisted that they must be.",0,Easy,2,2,,,,,,,,,,,,
