Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-u6qh,checkpoint-wwj4,checkpoint-75d5,branch-2gum,branch-dg21,branch-5lq7,Randomise questionnaire elements?,Question Key,Response
1,1734635240016,19/12/2024 19:07:20,1734635237693,-8,19/12/2024 11:07:17,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
2,1734635249312,19/12/2024 19:07:29,1734635247051,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Age,19
3,1734635249363,19/12/2024 19:07:29,1734635247052,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender,Woman
4,1734635249363,19/12/2024 19:07:29,1734635247052,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-quantised,2
5,1734635249363,19/12/2024 19:07:29,1734635247052,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Gender-text,
6,1734635249363,19/12/2024 19:07:29,1734635247052,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand,Right
7,1734635249363,19/12/2024 19:07:29,1734635247053,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,categorical_hand-quantised,2
8,1734635249363,19/12/2024 19:07:29,1734635247053,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education,Yes
9,1734635249363,19/12/2024 19:07:29,1734635247053,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Education-quantised,1
10,1734635249363,19/12/2024 19:07:29,1734635247053,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual,Yes
11,1734635249363,19/12/2024 19:07:29,1734635247053,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-quantised,1
12,1734635249363,19/12/2024 19:07:29,1734635247053,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,Bilingual-text,
13,1734635249363,19/12/2024 19:07:29,1734635247053,-8,19/12/2024 11:07:27,202242,3,questionnaire-7oy7,,42128862,BLIND,12304721,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5,1280x800,1280x720,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,END QUESTIONNAIRE,9360
1,1734909536202,22/12/2024 23:18:56,1734909536096,0,22/12/2024 23:18:56,202242,3,questionnaire-7oy7,,42169632,BLIND,12314725,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x816,Study,,,Demographics Questionnaire Adults (AS),5,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,No,BEGIN QUESTIONNAIRE,
