Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-1lbn,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
129,1741088776096,04/03/2025 11:46:16,1741088776096,0,04/03/2025 11:46:16,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,42,passages,Sentences,3emlxf,1,response,space,2060.800000002142,2050,2060.800000002142,2060.800000002142,2050,2060.800000002142,1,2060.800000002142,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,10,This government at Jamestown was the first local government in America.,1,Difficult,1,2,,,,,,,,,,,,,
130,1741088777984,04/03/2025 11:46:17,1741088777984,0,04/03/2025 11:46:17,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,9,probe,Thought probe,muxvwp,1,response,On Task,1898.700000000652,1883.3999999999069,1898.700000000652,1898.700000000652,1883.3999999999069,1898.700000000652,1,1898.700000000652,0,0,,Click Response,On Task,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,,
131,1741088781184,04/03/2025 11:46:21,1741088781184,0,04/03/2025 11:46:21,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,43,passages,Sentences,3emlxf,1,response,space,3214.900000002235,3199.899999999907,3214.900000002235,3214.900000002235,3199.899999999907,3214.900000002235,1,3214.900000002235,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,11,"Today, local government is still the first and most important government in our lives.",0,Difficult,1,2,,,,,,,,,,,,,
132,1741088783520,04/03/2025 11:46:23,1741088783520,0,04/03/2025 11:46:23,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,44,passages,Sentences,3emlxf,1,response,space,2351.299999999348,2350.100000000093,2351.299999999348,2351.299999999348,2350.100000000093,2351.299999999348,1,2351.299999999348,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,12,"It protects our lives, our safety, and our homes, and it helps to keep our environment clean.",1,Difficult,1,2,,,,,,,,,,,,,
133,1741088785737,04/03/2025 11:46:25,1741088785737,0,04/03/2025 11:46:25,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,10,probe,Thought probe,muxvwp,1,response,On Task,2218,2216.600000000093,2218,2218,2216.600000000093,2218,1,2218,0,0,,Click Response,On Task,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,,
134,1741088788433,04/03/2025 11:46:28,1741088788433,0,04/03/2025 11:46:28,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,45,passages,Sentences,3emlxf,1,response,space,2696.800000002142,2683.399999999907,2696.800000002142,2696.800000002142,2683.399999999907,2696.800000002142,1,2696.800000002142,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,13,"Schools, libraries, and other important services are provided to us by local government.",0,Difficult,1,2,,,,,,,,,,,,,
135,1741088789656,04/03/2025 11:46:29,1741088789656,0,04/03/2025 11:46:29,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,7,instr_comprehension,Comprehension instruction,ki2jxw,1,response,space,1237.1000000014901,1233.5,1237.1000000014901,1237.1000000014901,1233.5,1237.1000000014901,1,1237.1000000014901,0,0,,Keyboard Response,Keyboard Response,2,object-78,instr_comprehension,,,,,,,,,,,,,,,,,,,,,,
136,1741088801200,04/03/2025 11:46:41,1741088801200,0,04/03/2025 11:46:41,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,29,comprehension,Comprehension questions,ers3wv,1,response,d,11547.800000000745,11533.399999999907,11547.800000000745,11547.800000000745,11533.399999999907,11547.800000000745,1,11547.800000000745,0,0,,Click Response,response D,5,object-69,comprehension,,,6,1,,,,,,The first colonial government was,d,tribal,city,county,local,federal,,,,,,
137,1741088809608,04/03/2025 11:46:49,1741088809608,0,04/03/2025 11:46:49,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,30,comprehension,Comprehension questions,ers3wv,1,response,c,8422.400000000838,8416.5,8422.400000000838,8422.400000000838,8416.5,8422.400000000838,1,8422.400000000838,0,0,,Click Response,response C,4,object-68,comprehension,,,6,2,,,,,,The Jamestown colonists formed a government because of,c,pride,greed,necessity,togetherness,public spirit,,,,,,
138,1741088814552,04/03/2025 11:46:54,1741088814552,0,04/03/2025 11:46:54,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,31,comprehension,Comprehension questions,ers3wv,1,response,d,4949.899999999907,4933.300000000047,4949.899999999907,4949.899999999907,4933.300000000047,4949.899999999907,1,4949.899999999907,0,0,,Click Response,response C,4,object-68,comprehension,,,6,3,,,,,,The best title for this selection would be,d,John Smith,The First Government,Jamestown,Local Government,American Government,,,,,,
139,1741088822209,04/03/2025 11:47:02,1741088822209,0,04/03/2025 11:47:02,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,32,comprehension,Comprehension questions,ers3wv,1,response,d,7673.100000000792,7666.699999999953,7673.100000000792,7673.100000000792,7666.699999999953,7673.100000000792,1,7673.100000000792,0,0,,Click Response,response A,2,object-66,comprehension,,,6,4,,,,,,The overall goal of local government seems to be public,d,regulation,wealth,growth,welfare,protection,,,,,,
140,1741088823768,04/03/2025 11:47:03,1741088823768,0,04/03/2025 11:47:03,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,46,passages,Sentences,3emlxf,1,response,space,1565.6000000000931,1549.9000000001397,1565.6000000000931,1565.6000000000931,1549.9000000001397,1565.6000000000931,1,1565.6000000000931,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,8,0,Passage 8,0,Difficult,1,2,,,,,,,,,,,,,
141,1741088828568,04/03/2025 11:47:08,1741088828568,0,04/03/2025 11:47:08,210469,6,task-j2gm,,44038981,BLIND,12533308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Physical A,Consent,,,Voucher,Physical A,Physical A,47,passages,Sentences,3emlxf,1,response,space,4815.899999999208,4800.399999999907,4815.899999999208,4815.899999999208,4800.399999999907,4815.899999999208,1,4815.899999999208,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,8,1,The key to the design called experimental is assignment of subjects to conditions randomly. ,0,Difficult,1,2,,,,,,,,,,,,,
