Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-1lbn,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
21,1740488984873,25/02/2025 13:09:44,1740488984873,0,25/02/2025 13:09:44,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,9,passages,Sentences,3emlxf,1,response,space,3658.1000000030035,3650.100000000035,3658.1000000030035,3658.1000000030035,3650.100000000035,3658.1000000030035,1,3658.1000000030035,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,8,"The economic well-being of one’s country is determined largely by productivity, consumption, and employment. ",1,Difficult,1,2,,,,,,,,,,,,,
22,1740488991178,25/02/2025 13:09:51,1740488991178,0,25/02/2025 13:09:51,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,1,probe,Thought probe,muxvwp,1,response,On Task,6312.299999999988,6299.899999999965,6312.299999999988,6312.299999999988,6299.899999999965,6312.299999999988,1,6312.299999999988,0,0,,Click Response,On Task,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,,
23,1740488995001,25/02/2025 13:09:55,1740488995001,0,25/02/2025 13:09:55,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,10,passages,Sentences,3emlxf,1,response,space,3836.0000000015134,3833.4000000000233,3836.0000000015134,3836.0000000015134,3833.4000000000233,3836.0000000015134,1,3836.0000000015134,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,9,All three are affected by the efficiency of the marketing process.,0,Difficult,1,2,,,,,,,,,,,,,
24,1740489001321,25/02/2025 13:10:01,1740489001321,0,25/02/2025 13:10:01,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,11,passages,Sentences,3emlxf,1,response,space,6322.60000000149,6316.799999999988,6322.60000000149,6322.60000000149,6316.799999999988,6322.60000000149,1,6322.60000000149,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,10,"If marketing stimulates appetite, people will consume goods at a high rate.",0,Difficult,1,2,,,,,,,,,,,,,
25,1740489009241,25/02/2025 13:10:09,1740489009241,0,25/02/2025 13:10:09,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,12,passages,Sentences,3emlxf,1,response,space,7925.900000002992,7916.600000000035,7925.900000002992,7925.900000002992,7916.600000000035,7925.900000002992,1,7925.900000002992,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,11,"High consumption requires high productivity to meet the requirements of people, and high productivity and high-level activity in marketing combined result in high employment.",1,Difficult,1,2,,,,,,,,,,,,,
26,1740489011689,25/02/2025 13:10:11,1740489011689,0,25/02/2025 13:10:11,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,2,probe,Thought probe,muxvwp,1,response,Unintentional,2457.400000000722,2449.899999999965,2457.400000000722,2457.400000000722,2449.899999999965,2457.400000000722,1,2457.400000000722,0,0,,Click Response,Unintentional,4,object-84,probe,,,,,,,,,,,,,,,,,,,,,,
27,1740489016578,25/02/2025 13:10:16,1740489016578,0,25/02/2025 13:10:16,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,13,passages,Sentences,3emlxf,1,response,space,4895.900000002992,4883.5,4895.900000002992,4895.900000002992,4883.5,4895.900000002992,1,4895.900000002992,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,12,"Indirectly, marketing is a key to a high level of economic living for the people.",0,Difficult,1,2,,,,,,,,,,,,,
28,1740489025281,25/02/2025 13:10:25,1740489025281,0,25/02/2025 13:10:25,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,1,instr_comprehension,Comprehension instruction,ki2jxw,1,response,space,8715.800000001502,8699.900000000023,8715.800000001502,8715.800000001502,8699.900000000023,8715.800000001502,1,8715.800000001502,0,0,,Keyboard Response,Keyboard Response,2,object-78,instr_comprehension,,,,,,,,,,,,,,,,,,,,,,
29,1740489028986,25/02/2025 13:10:28,1740489028986,0,25/02/2025 13:10:28,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,1,comprehension,Comprehension questions,ers3wv,1,response,c,3720.2999999999884,3716.7000000000116,3720.2999999999884,3720.2999999999884,3716.7000000000116,3720.2999999999884,1,3720.2999999999884,0,0,,Click Response,response C,4,object-68,comprehension,,,2,1,,,,,,Our economic well-being is determined largely by how many factors?,c,One,Two,Three,Four,Five,,,,,,
30,1740489033866,25/02/2025 13:10:33,1740489033866,0,25/02/2025 13:10:33,210469,6,task-6rlz,,43796373,BLIND,12533306,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Voucher,,0,Mind wandering task,10,Digital B,Consent,,,Voucher,Digital B,Digital B,2,comprehension,Comprehension questions,ers3wv,1,response,d,4883.099999999977,4866.599999999977,4883.099999999977,4883.099999999977,4866.599999999977,4883.099999999977,1,4883.099999999977,0,0,,Click Response,response B,3,object-67,comprehension,,,2,2,,,,,,One major factor mentioned as affecting our economic well-being was,d,high wages,low interest rates,technology,employment,foreign trade,,,,,,
