Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Voucher,Store: Prize,branch-dgjt
1,1753264741922,23/07/2025 09:59,1753268341922,1,23/07/2025 11:59,234742,9,questionnaire-rusm,,48261298,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,,,Voucher
5,1753264750251,23/07/2025 09:59,1753268350251,1,23/07/2025 11:59,234742,9,questionnaire-rusm,,48261298,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,Yes,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
6,1753264750251,23/07/2025 09:59,1753268350251,1,23/07/2025 11:59,234742,9,questionnaire-rusm,,48261298,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,1,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
7,1753264750251,23/07/2025 09:59,1753268350251,1,23/07/2025 11:59,234742,9,questionnaire-rusm,,48261298,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,Prize,response,score,1,,,,,,,,Voucher
8,1753264750252,23/07/2025 09:59,1753268350252,1,23/07/2025 11:59,234742,9,questionnaire-rusm,,48261298,BLINDED,13863654,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x594,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,END,8311,,,,,,,Voucher
1,1753265793585,23/07/2025 10:16,1753269393585,1,23/07/2025 12:16,234742,9,questionnaire-rusm,,48262001,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,,,Voucher
5,1753265798895,23/07/2025 10:16,1753269398895,1,23/07/2025 12:16,234742,9,questionnaire-rusm,,48262001,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,Yes,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
6,1753265798895,23/07/2025 10:16,1753269398895,1,23/07/2025 12:16,234742,9,questionnaire-rusm,,48262001,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,1,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
7,1753265798896,23/07/2025 10:16,1753269398896,1,23/07/2025 12:16,234742,9,questionnaire-rusm,,48262001,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,Prize,response,score,1,,,,,,,,Voucher
8,1753265798896,23/07/2025 10:16,1753269398896,1,23/07/2025 12:16,234742,9,questionnaire-rusm,,48262001,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,END,5271,,,,,,,Voucher
1,1753277613611,23/07/2025 13:33,1753281213611,1,23/07/2025 15:33,234742,9,questionnaire-rusm,,48266878,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,,,Voucher
5,1753277619736,23/07/2025 13:33,1753281219736,1,23/07/2025 15:33,234742,9,questionnaire-rusm,,48266878,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,Yes,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
6,1753277619737,23/07/2025 13:33,1753281219737,1,23/07/2025 15:33,234742,9,questionnaire-rusm,,48266878,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,1,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
7,1753277619737,23/07/2025 13:33,1753281219737,1,23/07/2025 15:33,234742,9,questionnaire-rusm,,48266878,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,Prize,response,score,1,,,,,,,,Voucher
8,1753277619737,23/07/2025 13:33,1753281219737,1,23/07/2025 15:33,234742,9,questionnaire-rusm,,48266878,BLINDED,13865096,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,END,6084,,,,,,,Voucher
1,1753309328888,23/07/2025 22:22,1753312928888,1,24/07/2025 00:22,234742,9,questionnaire-rusm,,48278093,BLINDED,13867638,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,820x1180,820x1073,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,,,No Voucher
5,1753309345354,23/07/2025 22:22,1753312945354,1,24/07/2025 00:22,234742,9,questionnaire-rusm,,48278093,BLINDED,13867638,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,820x1180,820x1073,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,No,,Yes|No,Multiple Choice,2,object-21,,0,No Voucher
6,1753309345354,23/07/2025 22:22,1753312945354,1,24/07/2025 00:22,234742,9,questionnaire-rusm,,48278093,BLINDED,13867638,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,820x1180,820x1073,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,2,,Yes|No,Multiple Choice,2,object-21,,0,No Voucher
7,1753309345354,23/07/2025 22:22,1753312945354,1,24/07/2025 00:22,234742,9,questionnaire-rusm,,48278093,BLINDED,13867638,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,820x1180,820x1073,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,Prize,response,score,0,,,,,,,,No Voucher
8,1753309345354,23/07/2025 22:22,1753312945354,1,24/07/2025 00:22,234742,9,questionnaire-rusm,,48278093,BLINDED,13867638,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,820x1180,820x1073,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,END,16449,,,,,,,No Voucher
1,1753352753139,24/07/2025 10:25,1753356353139,1,24/07/2025 12:25,234742,9,questionnaire-rusm,,48283704,BLINDED,13869196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x551,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,,,Voucher
5,1753352756994,24/07/2025 10:25,1753356356994,1,24/07/2025 12:25,234742,9,questionnaire-rusm,,48283704,BLINDED,13869196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x551,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,Yes,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
6,1753352756994,24/07/2025 10:25,1753356356994,1,24/07/2025 12:25,234742,9,questionnaire-rusm,,48283704,BLINDED,13869196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x551,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,1,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
7,1753352756994,24/07/2025 10:25,1753356356994,1,24/07/2025 12:25,234742,9,questionnaire-rusm,,48283704,BLINDED,13869196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x551,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,Prize,response,score,1,,,,,,,,Voucher
8,1753352756995,24/07/2025 10:25,1753356356995,1,24/07/2025 12:25,234742,9,questionnaire-rusm,,48283704,BLINDED,13869196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x551,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,END,3829,,,,,,,Voucher
1,1753354773434,24/07/2025 10:59,1753358373434,1,24/07/2025 12:59,234742,9,questionnaire-rusm,,48284467,BLINDED,13869316,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1504x1003,1449x879,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,,,Voucher
5,1753354777741,24/07/2025 10:59,1753358377741,1,24/07/2025 12:59,234742,9,questionnaire-rusm,,48284467,BLINDED,13869316,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1504x1003,1449x879,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,Yes,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
6,1753354777741,24/07/2025 10:59,1753358377741,1,24/07/2025 12:59,234742,9,questionnaire-rusm,,48284467,BLINDED,13869316,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1504x1003,1449x879,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,1,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
7,1753354777741,24/07/2025 10:59,1753358377741,1,24/07/2025 12:59,234742,9,questionnaire-rusm,,48284467,BLINDED,13869316,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1504x1003,1449x879,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,Prize,response,score,1,,,,,,,,Voucher
8,1753354777742,24/07/2025 10:59,1753358377742,1,24/07/2025 12:59,234742,9,questionnaire-rusm,,48284467,BLINDED,13869316,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1504x1003,1449x879,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,END,4283,,,,,,,Voucher
1,1753354890421,24/07/2025 11:01,1753358490421,1,24/07/2025 13:01,234742,9,questionnaire-rusm,,48284570,BLINDED,13869340,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,,,Voucher
5,1753354893976,24/07/2025 11:01,1753358493976,1,24/07/2025 13:01,234742,9,questionnaire-rusm,,48284570,BLINDED,13869340,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,Yes,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
6,1753354893976,24/07/2025 11:01,1753358493976,1,24/07/2025 13:01,234742,9,questionnaire-rusm,,48284570,BLINDED,13869340,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,1,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
7,1753354893976,24/07/2025 11:01,1753358493976,1,24/07/2025 13:01,234742,9,questionnaire-rusm,,48284570,BLINDED,13869340,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,Prize,response,score,1,,,,,,,,Voucher
8,1753354893977,24/07/2025 11:01,1753358493977,1,24/07/2025 13:01,234742,9,questionnaire-rusm,,48284570,BLINDED,13869340,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x585,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,END,3529,,,,,,,Voucher
1,1753388365756,24/07/2025 20:19,1753391965756,1,24/07/2025 22:19,234742,9,questionnaire-rusm,,48296329,BLINDED,13872305,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x564,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,,,Voucher
5,1753388371158,24/07/2025 20:19,1753391971158,1,24/07/2025 22:19,234742,9,questionnaire-rusm,,48296329,BLINDED,13872305,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x564,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,Yes,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
6,1753388371158,24/07/2025 20:19,1753391971158,1,24/07/2025 22:19,234742,9,questionnaire-rusm,,48296329,BLINDED,13872305,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x564,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,1,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
7,1753388371159,24/07/2025 20:19,1753391971159,1,24/07/2025 22:19,234742,9,questionnaire-rusm,,48296329,BLINDED,13872305,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x564,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,Prize,response,score,1,,,,,,,,Voucher
8,1753388371160,24/07/2025 20:19,1753391971160,1,24/07/2025 22:19,234742,9,questionnaire-rusm,,48296329,BLINDED,13872305,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1280x720,1272x564,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,END,5378,,,,,,,Voucher
1,1753396393477,24/07/2025 22:33,1753399993477,1,25/07/2025 00:33,234742,9,questionnaire-rusm,,48297558,BLINDED,13872675,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x778,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,,,No Voucher
5,1753396406811,24/07/2025 22:33,1753400006811,1,25/07/2025 00:33,234742,9,questionnaire-rusm,,48297558,BLINDED,13872675,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x778,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,No,,Yes|No,Multiple Choice,2,object-21,,0,No Voucher
6,1753396406811,24/07/2025 22:33,1753400006811,1,25/07/2025 00:33,234742,9,questionnaire-rusm,,48297558,BLINDED,13872675,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x778,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,2,,Yes|No,Multiple Choice,2,object-21,,0,No Voucher
7,1753396406811,24/07/2025 22:33,1753400006811,1,25/07/2025 00:33,234742,9,questionnaire-rusm,,48297558,BLINDED,13872675,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x778,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,Prize,response,score,0,,,,,,,,No Voucher
8,1753396406811,24/07/2025 22:33,1753400006811,1,25/07/2025 00:33,234742,9,questionnaire-rusm,,48297558,BLINDED,13872675,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x778,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,END,13317,,,,,,,No Voucher
1,1753433557986,25/07/2025 08:52,1753437157986,1,25/07/2025 10:52,234742,9,questionnaire-rusm,,48303756,BLINDED,13873740,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x730,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,,,Voucher
5,1753433565254,25/07/2025 08:52,1753437165254,1,25/07/2025 10:52,234742,9,questionnaire-rusm,,48303756,BLINDED,13873740,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x730,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,Yes,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
6,1753433565254,25/07/2025 08:52,1753437165254,1,25/07/2025 10:52,234742,9,questionnaire-rusm,,48303756,BLINDED,13873740,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x730,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,1,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
7,1753433565255,25/07/2025 08:52,1753437165255,1,25/07/2025 10:52,234742,9,questionnaire-rusm,,48303756,BLINDED,13873740,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x730,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,Prize,response,score,1,,,,,,,,Voucher
8,1753433565255,25/07/2025 08:52,1753437165255,1,25/07/2025 10:52,234742,9,questionnaire-rusm,,48303756,BLINDED,13873740,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1536x864,1536x730,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,END,7229,,,,,,,Voucher
1,1753457785383,25/07/2025 15:36,1753461385383,1,25/07/2025 17:36,234742,9,questionnaire-rusm,,48314319,BLINDED,13875906,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 137.0.0.0,1470x956,1470x832,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,,,No Voucher
5,1753457789673,25/07/2025 15:36,1753461389673,1,25/07/2025 17:36,234742,9,questionnaire-rusm,,48314319,BLINDED,13875906,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 137.0.0.0,1470x956,1470x832,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,No,,Yes|No,Multiple Choice,2,object-21,,0,No Voucher
6,1753457789673,25/07/2025 15:36,1753461389673,1,25/07/2025 17:36,234742,9,questionnaire-rusm,,48314319,BLINDED,13875906,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 137.0.0.0,1470x956,1470x832,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,2,,Yes|No,Multiple Choice,2,object-21,,0,No Voucher
7,1753457789673,25/07/2025 15:36,1753461389673,1,25/07/2025 17:36,234742,9,questionnaire-rusm,,48314319,BLINDED,13875906,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 137.0.0.0,1470x956,1470x832,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,Prize,response,score,0,,,,,,,,No Voucher
8,1753457789673,25/07/2025 15:36,1753461389673,1,25/07/2025 17:36,234742,9,questionnaire-rusm,,48314319,BLINDED,13875906,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 137.0.0.0,1470x956,1470x832,,,0,FB - VOUCHER CHOICE,3,selfreport_probe,Eligible,,,,,info,,END,4273,,,,,,,No Voucher
1,1753459101848,25/07/2025 15:58,1753462701848,1,25/07/2025 17:58,234742,9,questionnaire-rusm,,48314682,BLINDED,13875978,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1190x729,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,,,Voucher
5,1753459121761,25/07/2025 15:58,1753462721761,1,25/07/2025 17:58,234742,9,questionnaire-rusm,,48314682,BLINDED,13875978,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1190x729,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,value,Yes,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
6,1753459121761,25/07/2025 15:58,1753462721761,1,25/07/2025 17:58,234742,9,questionnaire-rusm,,48314682,BLINDED,13875978,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1190x729,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,Page 1,1pydpy,1,**Would you like to enter the prize draw?**,response,quantised,1,,Yes|No,Multiple Choice,2,object-21,,1,Voucher
7,1753459121761,25/07/2025 15:58,1753462721761,1,25/07/2025 17:58,234742,9,questionnaire-rusm,,48314682,BLINDED,13875978,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1190x729,,,0,FB - VOUCHER CHOICE,3,probe_selfreport,Eligible,,,,Prize,response,score,1,,,,,,,,Voucher
