Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,branch-dgjt
3,1753456381727,25/07/2025 15:13,1753459981727,1,25/07/2025 17:13,234742,9,questionnaire-k4b1,,48313753,BLINDED,13875906,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 137.0.0.0,1470x956,1470x832,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,2027,,,,,No Voucher
1,1753454580283,25/07/2025 14:43,1753458180283,1,25/07/2025 16:43,234742,9,questionnaire-k4b1,,48314157,BLINDED,13875978,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1190x729,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753454582425,25/07/2025 14:43,1753458182425,1,25/07/2025 16:43,234742,9,questionnaire-k4b1,,48314157,BLINDED,13875978,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1190x729,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,2134,,,,,Voucher
1,1753467082026,25/07/2025 18:11,1753470682026,1,25/07/2025 20:11,234742,9,questionnaire-k4b1,,48316665,BLINDED,13876620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1440x900,1440x812,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753467087915,25/07/2025 18:11,1753470687915,1,25/07/2025 20:11,234742,9,questionnaire-k4b1,,48316665,BLINDED,13876620,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 134.0.0.0,1440x900,1440x812,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,5886,,,,,Voucher
1,1753474052687,25/07/2025 20:07,1753477652687,1,25/07/2025 22:07,234742,9,questionnaire-k4b1,,48318101,BLINDED,13876896,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,1440x900,1440x837,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753474059756,25/07/2025 20:07,1753477659756,1,25/07/2025 22:07,234742,9,questionnaire-k4b1,,48318101,BLINDED,13876896,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,1440x900,1440x837,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,7059,,,,,Voucher
1,1753549070065,26/07/2025 16:57,1753552670065,1,26/07/2025 18:57,234742,9,questionnaire-k4b1,,48326626,BLINDED,13878626,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 137.0.0.0,1366x768,1366x633,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753549074086,26/07/2025 16:57,1753552674086,1,26/07/2025 18:57,234742,9,questionnaire-k4b1,,48326626,BLINDED,13878626,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 137.0.0.0,1366x768,1366x633,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,4003,,,,,Voucher
1,1753627139012,27/07/2025 14:38,1753630739012,1,27/07/2025 16:38,234742,9,questionnaire-k4b1,,48335774,BLINDED,13880418,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x639,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753627142832,27/07/2025 14:39,1753630742832,1,27/07/2025 16:39,234742,9,questionnaire-k4b1,,48335774,BLINDED,13880418,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x639,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,3811,,,,,Voucher
1,1753673254227,28/07/2025 03:27,1753676854227,1,28/07/2025 05:27,234742,9,questionnaire-k4b1,,48340475,BLINDED,13881637,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1707x1067,1707x898,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753673257609,28/07/2025 03:27,1753676857609,1,28/07/2025 05:27,234742,9,questionnaire-k4b1,,48340475,BLINDED,13881637,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1707x1067,1707x898,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,3375,,,,,Voucher
1,1753700481580,28/07/2025 11:01,1753704081580,1,28/07/2025 13:01,234742,9,questionnaire-k4b1,,48346905,BLINDED,13883538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753700493419,28/07/2025 11:01,1753704093419,1,28/07/2025 13:01,234742,9,questionnaire-k4b1,,48346905,BLINDED,13883538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,11826,,,,,Voucher
1,1753705493459,28/07/2025 12:24,1753712693459,2,28/07/2025 16:24,234742,9,questionnaire-k4b1,,48348932,BLINDED,13884078,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1371x724,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753705495209,28/07/2025 12:24,1753712695209,2,28/07/2025 16:24,234742,9,questionnaire-k4b1,,48348932,BLINDED,13884078,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1371x724,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,1744,,,,,Voucher
1,1753707275736,28/07/2025 12:54,1753710875736,1,28/07/2025 14:54,234742,9,questionnaire-k4b1,,48349628,BLINDED,13884260,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x953,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753707280102,28/07/2025 12:54,1753710880102,1,28/07/2025 14:54,234742,9,questionnaire-k4b1,,48349628,BLINDED,13884260,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x953,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,4363,,,,,Voucher
1,1753711015211,28/07/2025 13:56,1753714615211,1,28/07/2025 15:56,234742,9,questionnaire-k4b1,,48350709,BLINDED,13884574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753711016461,28/07/2025 13:56,1753714616461,1,28/07/2025 15:56,234742,9,questionnaire-k4b1,,48350709,BLINDED,13884574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,1238,,,,,Voucher
1,1753711030768,28/07/2025 13:57,1753714630768,1,28/07/2025 15:57,234742,9,questionnaire-k4b1,,48350712,BLINDED,13884575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1440x820,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753711035871,28/07/2025 13:57,1753714635871,1,28/07/2025 15:57,234742,9,questionnaire-k4b1,,48350712,BLINDED,13884575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1440x820,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,5093,,,,,Voucher
1,1753737169268,28/07/2025 21:12,1753740769268,1,28/07/2025 23:12,234742,9,questionnaire-k4b1,,48362022,BLINDED,13886867,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1504x1003,1496x877,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753737172648,28/07/2025 21:12,1753740772648,1,28/07/2025 23:12,234742,9,questionnaire-k4b1,,48362022,BLINDED,13886867,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1504x1003,1496x877,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,3370,,,,,Voucher
1,1753781368847,29/07/2025 09:29,1753784968847,1,29/07/2025 11:29,234742,9,questionnaire-k4b1,,48384229,BLINDED,13889770,,rejected - time limit reached,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x551,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,No Voucher
3,1753781371554,29/07/2025 09:29,1753784971554,1,29/07/2025 11:29,234742,9,questionnaire-k4b1,,48384229,BLINDED,13889770,,rejected - time limit reached,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x551,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,2680,,,,,No Voucher
1,1753781790834,29/07/2025 09:36,1753785390834,1,29/07/2025 11:36,234742,9,questionnaire-k4b1,,48384910,BLINDED,13889851,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x738,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,No Voucher
3,1753781792944,29/07/2025 09:36,1753785392944,1,29/07/2025 11:36,234742,9,questionnaire-k4b1,,48384910,BLINDED,13889851,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x738,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,2104,,,,,No Voucher
1,1753793269426,29/07/2025 12:47,1753796869426,1,29/07/2025 14:47,234742,9,questionnaire-k4b1,,48395346,BLINDED,13891246,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x746,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,No Voucher
3,1753793274171,29/07/2025 12:47,1753796874171,1,29/07/2025 14:47,234742,9,questionnaire-k4b1,,48395346,BLINDED,13891246,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x746,,,0,Task Welcome,4,probe_selfreport,Eligible,,,,,info,,END,4736,,,,,No Voucher
1,1753808838030,29/07/2025 17:07,1753812438030,1,29/07/2025 19:07,234742,9,questionnaire-k4b1,,48405771,BLINDED,13892982,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x754,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,Voucher
3,1753808841741,29/07/2025 17:07,1753812441741,1,29/07/2025 19:07,234742,9,questionnaire-k4b1,,48405771,BLINDED,13892982,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.4,1470x956,1470x754,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,END,3700,,,,,Voucher
1,1753892664099,30/07/2025 16:24,1753896264099,1,30/07/2025 18:24,234742,9,questionnaire-k4b1,,48441761,BLINDED,13898927,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,1440x900,1264x742,,,0,Task Welcome,4,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,Voucher
