Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Randomise questionnaire elements?,Question Key,Response,randomiser-mq2e,branch-s3b7,branch-dgjt
29,1753261271161,23/07/2025 09:01,1753261270855,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 14 -quantised,4,probe_selfreport,Eligible,Voucher
30,1753261271161,23/07/2025 09:01,1753261270855,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 15 ,Slightly Agree,probe_selfreport,Eligible,Voucher
31,1753261271161,23/07/2025 09:01,1753261270855,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 15 -quantised,2,probe_selfreport,Eligible,Voucher
32,1753261271161,23/07/2025 09:01,1753261270856,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 16,Slightly Agree,probe_selfreport,Eligible,Voucher
33,1753261271161,23/07/2025 09:01,1753261270856,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 16-quantised,2,probe_selfreport,Eligible,Voucher
34,1753261271161,23/07/2025 09:01,1753261270856,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 17,Slightly Agree,probe_selfreport,Eligible,Voucher
35,1753261271161,23/07/2025 09:01,1753261270856,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 17-quantised,2,probe_selfreport,Eligible,Voucher
36,1753261271161,23/07/2025 09:01,1753261270856,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 18,Definitely Disagree,probe_selfreport,Eligible,Voucher
37,1753261271161,23/07/2025 09:01,1753261270856,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 18-quantised,4,probe_selfreport,Eligible,Voucher
38,1753261271161,23/07/2025 09:01,1753261270856,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 19 ,Slightly Agree,probe_selfreport,Eligible,Voucher
39,1753261271161,23/07/2025 09:01,1753261270856,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 19 -quantised,2,probe_selfreport,Eligible,Voucher
40,1753261271161,23/07/2025 09:01,1753261270856,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 20,Slightly Disagree,probe_selfreport,Eligible,Voucher
41,1753261271161,23/07/2025 09:01,1753261270856,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 20-quantised,3,probe_selfreport,Eligible,Voucher
42,1753261271161,23/07/2025 09:01,1753261270856,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 21,Slightly Agree,probe_selfreport,Eligible,Voucher
43,1753261271265,23/07/2025 09:01,1753261270857,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 21-quantised,2,probe_selfreport,Eligible,Voucher
44,1753261271265,23/07/2025 09:01,1753261270857,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 22,Slightly Agree,probe_selfreport,Eligible,Voucher
45,1753261271265,23/07/2025 09:01,1753261270857,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 22-quantised,2,probe_selfreport,Eligible,Voucher
46,1753261271265,23/07/2025 09:01,1753261270857,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 23 ,Slightly Disagree,probe_selfreport,Eligible,Voucher
47,1753261271265,23/07/2025 09:01,1753261270857,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 23 -quantised,3,probe_selfreport,Eligible,Voucher
48,1753261271265,23/07/2025 09:01,1753261270857,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 24,Slightly Agree,probe_selfreport,Eligible,Voucher
49,1753261271265,23/07/2025 09:01,1753261270857,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 24-quantised,2,probe_selfreport,Eligible,Voucher
50,1753261271265,23/07/2025 09:01,1753261270857,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 25,Definitely Disagree,probe_selfreport,Eligible,Voucher
51,1753261271265,23/07/2025 09:01,1753261270857,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 25-quantised,4,probe_selfreport,Eligible,Voucher
52,1753261271265,23/07/2025 09:01,1753261270857,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 26 ,Slightly Disagree,probe_selfreport,Eligible,Voucher
53,1753261271265,23/07/2025 09:01,1753261270857,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 26 -quantised,3,probe_selfreport,Eligible,Voucher
54,1753261271265,23/07/2025 09:01,1753261270858,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 27 ,Slightly Disagree,probe_selfreport,Eligible,Voucher
55,1753261271265,23/07/2025 09:01,1753261270858,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 27 -quantised,3,probe_selfreport,Eligible,Voucher
56,1753261271265,23/07/2025 09:01,1753261270858,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 28,Slightly Disagree,probe_selfreport,Eligible,Voucher
57,1753261271265,23/07/2025 09:01,1753261270858,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 28-quantised,3,probe_selfreport,Eligible,Voucher
58,1753261271265,23/07/2025 09:01,1753261270858,1,23/07/2025 10:01,234742,9,questionnaire-opi6,,48260195,BLINDED,13862736,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1424x718,,,,The Autism Spectrum Quotient Adult's Version,2,No,END QUESTIONNAIRE,484066,probe_selfreport,Eligible,Voucher
1,1753265125134,23/07/2025 10:05,1753265125016,1,23/07/2025 11:05,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,BEGIN QUESTIONNAIRE,,probe_selfreport,Eligible,Voucher
2,1753265224443,23/07/2025 10:07,1753265224227,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 1 ,Slightly Disagree,probe_selfreport,Eligible,Voucher
3,1753265224515,23/07/2025 10:07,1753265224229,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 1 -quantised,3,probe_selfreport,Eligible,Voucher
4,1753265224515,23/07/2025 10:07,1753265224229,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 2 ,Definitely Agree,probe_selfreport,Eligible,Voucher
5,1753265224515,23/07/2025 10:07,1753265224229,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 2 -quantised,1,probe_selfreport,Eligible,Voucher
6,1753265224515,23/07/2025 10:07,1753265224229,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 3 ,Slightly Disagree,probe_selfreport,Eligible,Voucher
7,1753265224515,23/07/2025 10:07,1753265224229,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 3 -quantised,3,probe_selfreport,Eligible,Voucher
8,1753265224515,23/07/2025 10:07,1753265224229,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 4 ,Slightly Agree,probe_selfreport,Eligible,Voucher
9,1753265224515,23/07/2025 10:07,1753265224229,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 4 -quantised,2,probe_selfreport,Eligible,Voucher
10,1753265224515,23/07/2025 10:07,1753265224230,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 5,Definitely Disagree,probe_selfreport,Eligible,Voucher
11,1753265224515,23/07/2025 10:07,1753265224230,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 5-quantised,4,probe_selfreport,Eligible,Voucher
12,1753265224515,23/07/2025 10:07,1753265224230,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 6 ,Definitely Agree,probe_selfreport,Eligible,Voucher
13,1753265224515,23/07/2025 10:07,1753265224230,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 6 -quantised,1,probe_selfreport,Eligible,Voucher
14,1753265224515,23/07/2025 10:07,1753265224230,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 7,Definitely Agree,probe_selfreport,Eligible,Voucher
15,1753265224515,23/07/2025 10:07,1753265224230,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 7-quantised,1,probe_selfreport,Eligible,Voucher
16,1753265224515,23/07/2025 10:07,1753265224230,1,23/07/2025 11:07,234742,9,questionnaire-opi6,,48261542,BLINDED,13863726,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1152x720,1152x640,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 8 ,Slightly Agree,probe_selfreport,Eligible,Voucher
