Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
21,1740489053436,25/02/2025 13:10:53,1740489053436,0,25/02/2025 13:10:53,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,7,passages,Sentences,3emlxf,1,response,space,5932.499999998516,5916.8000000000175,5932.499999998516,5932.499999998516,5916.8000000000175,5932.499999998516,1,5932.499999998516,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,6,"These poems were never intended by Mrs. Browning to be published, but her poet husband promptly declared that they must be. ",0,Difficult,1,1,,,,,,,,,,,,,
22,1740489060436,25/02/2025 13:11:00,1740489060436,0,25/02/2025 13:11:00,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,8,passages,Sentences,3emlxf,1,response,space,7015.600000000733,7000,7015.600000000733,7015.600000000733,7000,7015.600000000733,1,7015.600000000733,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,7,The Sonnets from the Portuguese was his suggested title—a title which might shroud the fact that they were personal. ,0,Difficult,1,1,,,,,,,,,,,,,
23,1740489064404,25/02/2025 13:11:04,1740489064404,0,25/02/2025 13:11:04,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,9,passages,Sentences,3emlxf,1,response,space,3983.7000000000116,3966.7999999999884,3983.7000000000116,3983.7000000000116,3966.7999999999884,3983.7000000000116,1,3983.7000000000116,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,8,They were in his mind “the finest sonnets written in our language since Shakespeare’s.”,0,Difficult,1,1,,,,,,,,,,,,,
24,1740489070340,25/02/2025 13:11:10,1740489070340,0,25/02/2025 13:11:10,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,10,passages,Sentences,3emlxf,1,response,space,5952.800000000745,5949.799999999988,5952.800000000745,5952.800000000745,5949.799999999988,5952.800000000745,1,5952.800000000745,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,9,"Sonnets from the Portuguese, in Browning’s opinion, was hardly more flattering to his wife than his opinion of most of her poetry. ",0,Difficult,1,1,,,,,,,,,,,,,
25,1740489077124,25/02/2025 13:11:17,1740489077124,0,25/02/2025 13:11:17,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,11,passages,Sentences,3emlxf,1,response,space,6787.2999999977765,6783.400000000023,6787.2999999977765,6787.2999999977765,6783.400000000023,6787.2999999977765,1,6787.2999999977765,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,10,"A better poet than he, thought Browning, and the world at that time agreed with him.",0,Difficult,1,1,,,,,,,,,,,,,
26,1740489084742,25/02/2025 13:11:24,1740489084742,0,25/02/2025 13:11:24,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,12,passages,Sentences,3emlxf,1,response,space,7621.600000000733,7616.599999999977,7621.600000000733,7621.600000000733,7616.599999999977,7621.600000000733,1,7621.600000000733,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,11,"He called her his “moon of poets,” as she considered him her sun.",0,Difficult,1,1,,,,,,,,,,,,,
27,1740489089636,25/02/2025 13:11:29,1740489089636,0,25/02/2025 13:11:29,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,13,passages,Sentences,3emlxf,1,response,space,4899.5999999985215,4883.400000000023,4899.5999999985215,4899.5999999985215,4883.400000000023,4899.5999999985215,1,4899.5999999985215,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,12,"She was a pure singer with a lovely lyrical tenderness, the best poet of her sex since Sappho. ",0,Difficult,1,1,,,,,,,,,,,,,
28,1740489097676,25/02/2025 13:11:37,1740489097676,0,25/02/2025 13:11:37,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,14,passages,Sentences,3emlxf,1,response,space,8056.199999998498,8050.399999999965,8056.199999998498,8056.199999998498,8050.399999999965,8056.199999998498,1,8056.199999998498,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,13,"Her Sonnets, in their autobiographical candor, in their fine restraint and fullness, reveal a woman’s secret soul as had no other poetry in our literature up to that time. ",0,Difficult,1,1,,,,,,,,,,,,,
29,1740489100540,25/02/2025 13:11:40,1740489100540,0,25/02/2025 13:11:40,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,15,passages,Sentences,3emlxf,1,response,space,2869.4000000000233,2866.5,2869.4000000000233,2869.4000000000233,2866.5,2869.4000000000233,1,2869.4000000000233,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,14,Her lyrical mastery shines in many passages of her writings.,0,Difficult,1,1,,,,,,,,,,,,,
30,1740489103812,25/02/2025 13:11:43,1740489103812,0,25/02/2025 13:11:43,201675,16,task-d2yz,,43796454,BLIND,12533358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital A,Consent,Over 17,English as 1st language,Digital A,Digital A,16,passages,Sentences,3emlxf,1,response,space,3275.2000000007683,3266.5,3275.2000000007683,3275.2000000007683,3266.5,3275.2000000007683,1,3275.2000000007683,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,15,Italy was a kind of promised terrain for Elizabeth Browning. ,0,Difficult,1,1,,,,,,,,,,,,,
