Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
21,1741087000770,04/03/2025 11:16:40,1741087000770,0,04/03/2025 11:16:40,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,4,probe_physical,Return to physical text,5jjhzp,2,continue,,948.3000000007451,933.4000000000233,948.3000000007451,948.3000000007451,933.4000000000233,948.3000000007451,1,948.3000000007451,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
22,1741087014914,04/03/2025 11:16:54,1741087014914,0,04/03/2025 11:16:54,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,5,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,14158.799999999232,14149.799999999988,14158.799999999232,14158.799999999232,14149.799999999988,14158.799999999232,1,14158.799999999232,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
23,1741087016002,04/03/2025 11:16:56,1741087016002,0,04/03/2025 11:16:56,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,5,probe_physical,Return to physical text,5jjhzp,2,continue,,1097.1000000007334,1083.5,1097.1000000007334,1097.1000000007334,1083.5,1097.1000000007334,1,1097.1000000007334,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
24,1741087035722,04/03/2025 11:17:15,1741087035722,0,04/03/2025 11:17:15,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,6,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,19733.40000000148,19716.79999999999,19733.40000000148,19733.40000000148,19716.79999999999,19733.40000000148,1,19733.40000000148,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
25,1741087037490,04/03/2025 11:17:17,1741087037490,0,04/03/2025 11:17:17,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,6,probe_physical,Return to physical text,5jjhzp,2,continue,,1784.6000000014901,1783.0999999999767,1784.6000000014901,1784.6000000014901,1783.0999999999767,1784.6000000014901,1,1784.6000000014901,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
26,1741087113331,04/03/2025 11:18:33,1741087113331,0,04/03/2025 11:18:33,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,7,probe_physical,Thought probe (physical),ucvclj,1,response,Unintentional,75842.20000000077,75833.5,75842.20000000077,75842.20000000077,75833.5,75842.20000000077,1,75842.20000000077,0,0,,Click Response,Unintentional,4,object-89,probe_physical,,,,,,,,,,,,,,,,,,,,,,
27,1741087115178,04/03/2025 11:18:35,1741087115178,0,04/03/2025 11:18:35,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,7,probe_physical,Return to physical text,5jjhzp,2,continue,,1856.0999999992782,1850.5,1856.0999999992782,1856.0999999992782,1850.5,1856.0999999992782,1,1856.0999999992782,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
28,1741087130362,04/03/2025 11:18:50,1741087130362,0,04/03/2025 11:18:50,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,1,instr_comprehension,Comprehension instruction,ki2jxw,1,response,space,15189.900000000023,15182.900000000023,15189.900000000023,15189.900000000023,15182.900000000023,15189.900000000023,1,15189.900000000023,0,0,,Keyboard Response,Keyboard Response,2,object-78,instr_comprehension,,,,,,,,,,,,,,,,,,,,,,
29,1741087140251,04/03/2025 11:19:00,1741087140251,0,04/03/2025 11:19:00,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,1,comprehension,Comprehension questions,ers3wv,1,response,b,9895.300000000745,9883.400000000023,9895.300000000745,9895.300000000745,9883.400000000023,9895.300000000745,1,9895.300000000745,0,0,,Click Response,response B,3,object-67,comprehension,,,1,1,,,,,,Flush was the name of the Brownings’,b,cat,dog,canary,turtle,thrush,,,,,,
30,1741087146786,04/03/2025 11:19:06,1741087146786,0,04/03/2025 11:19:06,201675,16,task-j2gm,,44038318,BLIND,12533361,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 133.0.0.0,1920x1080,921x919,Consent,,0,Mind wandering task,10,Physical A,Consent,Over 17,English as 1st language,Physical A,Physical A,2,comprehension,Comprehension questions,ers3wv,1,response,a,6547.299999999232,6533.5,6547.299999999232,6547.299999999232,6533.5,6547.299999999232,1,6547.299999999232,0,0,,Click Response,response A,2,object-66,comprehension,,,1,2,,,,,,At night the Brownings often enjoyed,a,hot chestnuts,a tart with clotted cream,strawberries and cream,café au lait,cheese soufflé,,,,,,
