Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: blockType,Manipulation: Spreadsheet
122,1741349734075,07/03/2025 12:15:34,1741349734075,0,07/03/2025 12:15:34,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,20,comprehension,Comprehension questions,ers3wv,1,response,c,15274.399999997811,15267,15274.399999997811,15274.399999997811,15267,15274.399999997811,1,15274.399999997811,0,0,,Click Response,response C,4,object-68,comprehension,,,1,4,,,,,,Browning wrote to Miss Barrett because she had,c,invited him to visit,written him for advice,praised his poetry,sent him one of her own poems,sent a friend to meet him,,,,,,
123,1741349748643,07/03/2025 12:15:48,1741349748643,0,07/03/2025 12:15:48,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,21,comprehension,Comprehension questions,ers3wv,1,response,b,14575.499999999302,14566.400000000023,14575.499999999302,14575.499999999302,14566.400000000023,14575.499999999302,1,14575.499999999302,0,0,,Click Response,response D,5,object-69,comprehension,,,1,5,,,,,,The authors of this passage placed most attention on the Brownings’,b,literary efforts,personal relationship,social contacts,problems,early meeting,,,,,,
124,1741349757307,07/03/2025 12:15:57,1741349757307,0,07/03/2025 12:15:57,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,22,comprehension,Comprehension questions,ers3wv,1,response,e,8672.900000000023,8666.70000000007,8672.900000000023,8672.900000000023,8666.70000000007,8672.900000000023,1,8672.900000000023,0,0,,Click Response,response D,5,object-69,comprehension,,,1,6,,,,,,What best describes the Brownings’ early days abroad?,e,Travel,Relaxation,Creative activity,Intellectual stimulation,Happiness,,,,,,
125,1741349769203,07/03/2025 12:16:09,1741349769203,0,07/03/2025 12:16:09,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,23,comprehension,Comprehension questions,ers3wv,1,response,b,11902.099999998463,11900.09999999986,11902.099999998463,11902.099999998463,11900.09999999986,11902.099999998463,1,11902.099999998463,0,0,,Click Response,response D,5,object-69,comprehension,,,1,7,,,,,,You would assume that Browning,b,found it easy to see Elizabeth,carefully avoided Mr. Barrett,begged Mr. Barrett’s consent to marry,understood Mr. Barrett,got Elizabeth to ask her father’s consent,,,,,,
126,1741349778059,07/03/2025 12:16:18,1741349778059,0,07/03/2025 12:16:18,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,24,comprehension,Comprehension questions,ers3wv,1,response,a,8857.799999999348,8849.90000000014,8857.799999999348,8857.799999999348,8849.90000000014,8857.799999999348,1,8857.799999999348,0,0,,Click Response,response A,2,object-66,comprehension,,,1,8,,,,,,"In the “torrent on a straw” quotation, the word straw probably refers to",a,the frailty of life,weakness of character,sorrow,happiness,the fleeting nature of fame,,,,,,
127,1741349779780,07/03/2025 12:16:19,1741349779780,0,07/03/2025 12:16:19,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,54,passages,Sentences,3emlxf,1,response,space,1728.7999999977183,1716.8000000000466,1728.7999999977183,1728.7999999977183,1716.8000000000466,1728.7999999977183,1,1728.7999999977183,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,,,Passage 3,,,,,,,,,,,,,,,,,
128,1741349840083,07/03/2025 12:17:20,1741349840083,0,07/03/2025 12:17:20,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,8,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,60315.59999999916,60300.09999999986,60315.59999999916,60315.59999999916,60300.09999999986,60315.59999999916,1,60315.59999999916,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
129,1741349872443,07/03/2025 12:17:52,1741349872443,0,07/03/2025 12:17:52,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,8,probe_physical,Return to physical text,5jjhzp,2,continue,,32375.300000000047,32366.5,32375.300000000047,32375.300000000047,32366.5,32375.300000000047,1,32375.300000000047,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
130,1741349873171,07/03/2025 12:17:53,1741349873171,0,07/03/2025 12:17:53,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,9,probe_physical,Thought probe (physical),ucvclj,1,response,On Task,736.8000000000466,733.4000000001397,736.8000000000466,736.8000000000466,733.4000000001397,736.8000000000466,1,736.8000000000466,0,0,,Click Response,On Task,2,object-87,probe_physical,,,,,,,,,,,,,,,,,,,,,,
131,1741349878020,07/03/2025 12:17:58,1741349878020,0,07/03/2025 12:17:58,201675,16,task-6rlz,,44161265,BLIND,12533367,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1920x1080,1912x954,Consent,,0,Mind wandering task,10,Digital B,Consent,Over 17,English as 1st language,Digital B,Digital B,9,probe_physical,Return to physical text,5jjhzp,2,continue,,4852.199999996927,4850.299999999814,4852.199999996927,4852.199999996927,4850.299999999814,4852.199999996927,1,4852.199999996927,0,0,,Click To Continue,Continue Button,2,object-94,probe_physical,,,,,,,,,,,,,,,,,,,,,,
