Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,randomiser-mq2e,branch-s3b7,branch-dgjt
41,1753197906467,22/07/2025 15:25,1753201506467,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,3,instruction1,screen1,755tgm,1,continue,,734.7999999761596,732.7000000000044,734.7999999761596,734.7999999761596,732.7000000000044,734.7999999761596,1,0,0,,Click To Continue,next,3,object-4,instruction1,"## While you do the task, you might start thinking about personal events or concerns rather than the task. At other times, you might get bored or tired and you don't really know what you're thinking about; all you know is that you are no longer thinking about the task.",,,,,,probe_selfreport,Eligible,Voucher
42,1753197924541,22/07/2025 15:25,1753201524541,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,1,instruction2,screen1,fokajt,1,continue,,18076.199999999997,18066.299999999996,18076.199999999997,18076.199999999997,18066.299999999996,18076.199999999997,1,0,0,,Click To Continue,next,3,object-171,instruction2,,,,,,,probe_selfreport,Eligible,Voucher
43,1753197929538,22/07/2025 15:25,1753201529538,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,2,ready,screen1,vndsmx,1,timedOut,,5006.699999952318,4995.500000000007,5006.699999952318,5006.699999952318,4995.500000000007,5006.699999952318,1,0,0,,Time Limit,screen,0,screen,ready,,,,,,,probe_selfreport,Eligible,Voucher
44,1753197929727,22/07/2025 15:25,1753201529727,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,19,trial_withFeedback,digit,9x41os,1,timedOut,,200.19999995231046,199.6999999999971,200.19999995231046,200.19999995231046,199.6999999999971,200.19999995231046,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,9,space,,,90,probe_selfreport,Eligible,Voucher
45,1753197930111,22/07/2025 15:25,1753201530111,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,19,trial_withFeedback,mask,zabu7l,2,response,space,382.90000000000873,366.3000000000029,382.90000000000873,382.90000000000873,366.3000000000029,382.90000000000873,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,9,space,,,90,probe_selfreport,Eligible,Voucher
46,1753197931292,22/07/2025 15:25,1753201531292,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,20,trial_withFeedback,digit,9x41os,1,timedOut,,200.29999990462966,199.8000000000029,200.29999990462966,200.29999990462966,199.8000000000029,200.29999990462966,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,5,space,,,150,probe_selfreport,Eligible,Voucher
47,1753197931350,22/07/2025 15:25,1753201531350,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,20,trial_withFeedback,mask,zabu7l,2,response,space,58.39999999999418,49.79999999998836,58.39999999999418,58.39999999999418,49.79999999998836,58.39999999999418,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,5,space,,,150,probe_selfreport,Eligible,Voucher
48,1753197932541,22/07/2025 15:25,1753201532541,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,21,trial_withFeedback,digit,9x41os,1,timedOut,,200.29999995231628,199.89999999999418,200.29999995231628,200.29999995231628,199.89999999999418,200.29999995231628,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,120,probe_selfreport,Eligible,Voucher
49,1753197932599,22/07/2025 15:25,1753201532599,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,21,trial_withFeedback,mask,zabu7l,2,response,space,58.29999992848025,49.80000000000291,58.29999992848025,58.29999992848025,49.80000000000291,58.29999992848025,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,6,space,,,120,probe_selfreport,Eligible,Voucher
50,1753197933791,22/07/2025 15:25,1753201533791,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,22,trial_withFeedback,digit,9x41os,1,timedOut,,200.8000000000029,199.6999999999971,200.8000000000029,200.8000000000029,199.6999999999971,200.8000000000029,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,4,space,,,110,probe_selfreport,Eligible,Voucher
51,1753197934691,22/07/2025 15:25,1753201534691,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,22,trial_withFeedback,mask,zabu7l,2,response,noresponse,899.2000000000116,899.2000000000116,899.2000000000116,899.2000000000116,899.2000000000116,899.2000000000116,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,4,space,,,110,probe_selfreport,Eligible,Voucher
52,1753197938229,22/07/2025 15:25,1753201538229,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,1,probe,screen1,zdzjkm,1,response,,2558.0999999761552,2547.5,2558.0999999761552,2558.0999999761552,2547.5,2558.0999999761552,1,0,0,on task,Click Response,resp_onTask,2,object-133,probe,,,,,,,probe_selfreport,Eligible,Voucher
53,1753197943215,22/07/2025 15:25,1753201543215,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,1,probe,ready,gcqbye,2,timedOut,,4996.099999976155,4995.5,4996.099999976155,4996.099999976155,4995.5,4996.099999976155,1,0,0,,Time Limit,screen,0,screen,probe,,,,,,,probe_selfreport,Eligible,Voucher
54,1753197943414,22/07/2025 15:25,1753201543414,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,23,trial_withFeedback,digit,9x41os,1,timedOut,,200.39999992847152,199.8000000000029,200.39999992847152,200.39999992847152,199.8000000000029,200.39999992847152,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,9,space,,,170,probe_selfreport,Eligible,Voucher
55,1753197943625,22/07/2025 15:25,1753201543625,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,23,trial_withFeedback,mask,zabu7l,2,response,space,211.29999997615232,199.79999999998836,211.29999997615232,211.29999997615232,199.79999999998836,211.29999997615232,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,9,space,,,170,probe_selfreport,Eligible,Voucher
56,1753197944813,22/07/2025 15:25,1753201544813,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,24,trial_withFeedback,digit,9x41os,1,timedOut,,200.29999992848025,199.8000000000029,200.29999992848025,200.29999992848025,199.8000000000029,200.29999992848025,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,130,probe_selfreport,Eligible,Voucher
57,1753197944874,22/07/2025 15:25,1753201544874,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,24,trial_withFeedback,mask,zabu7l,2,response,space,61.69999997616105,50,61.69999997616105,61.69999997616105,50,61.69999997616105,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,6,space,,,130,probe_selfreport,Eligible,Voucher
58,1753197946062,22/07/2025 15:25,1753201546062,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,25,trial_withFeedback,digit,9x41os,1,timedOut,,200.99999992847734,199.90000000000873,200.99999992847734,200.99999992847734,199.90000000000873,200.99999992847734,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,160,probe_selfreport,Eligible,Voucher
59,1753197946093,22/07/2025 15:25,1753201546093,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,25,trial_withFeedback,mask,zabu7l,2,response,space,31.599999928468606,16.5,31.599999928468606,31.599999928468606,16.5,31.599999928468606,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,6,space,,,160,probe_selfreport,Eligible,Voucher
60,1753197947277,22/07/2025 15:25,1753201547277,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,26,trial_withFeedback,digit,9x41os,1,timedOut,,200.29999992848025,199.70000000001164,200.29999992848025,200.29999992848025,199.70000000001164,200.29999992848025,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,9,space,,,160,probe_selfreport,Eligible,Voucher
61,1753197947343,22/07/2025 15:25,1753201547343,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,26,trial_withFeedback,mask,zabu7l,2,response,space,65.79999997615232,50,65.79999997615232,65.79999997615232,50,65.79999997615232,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,9,space,,,160,probe_selfreport,Eligible,Voucher
62,1753197948527,22/07/2025 15:25,1753201548527,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,27,trial_withFeedback,digit,9x41os,1,timedOut,,201.19999995231046,199.79999999998836,201.19999995231046,201.19999995231046,199.79999999998836,201.19999995231046,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,120,probe_selfreport,Eligible,Voucher
63,1753197948534,22/07/2025 15:25,1753201548534,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,27,trial_withFeedback,mask,zabu7l,2,response,space,7.999999976163963,0,7.999999976163963,7.999999976163963,0,7.999999976163963,0,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,3,noresponse,,,120,probe_selfreport,Eligible,Voucher
64,1753197949725,22/07/2025 15:25,1753201549725,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,28,trial_withFeedback,digit,9x41os,1,timedOut,,200.29999997615232,199.6999999999971,200.29999997615232,200.29999997615232,199.6999999999971,200.29999997615232,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,9,space,,,130,probe_selfreport,Eligible,Voucher
65,1753197949796,22/07/2025 15:25,1753201549796,1,22/07/2025 17:25,234742,8,task-jj2g,,48248935,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2,7,spreadsheet3,spreadsheet3,28,trial_withFeedback,mask,zabu7l,2,response,space,71.39999992847152,66.69999999999709,71.39999992847152,71.39999992847152,66.69999999999709,71.39999992847152,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,9,space,,,130,probe_selfreport,Eligible,Voucher
