Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Randomise questionnaire elements?,Question Key,Response,randomiser-mq2e,branch-s3b7,branch-dgjt
13,1753198638160,22/07/2025 15:37,1753198638702,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 6 -quantised,2,probe_selfreport,Eligible,Voucher
14,1753198638160,22/07/2025 15:37,1753198638702,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 7,Definitely Agree,probe_selfreport,Eligible,Voucher
15,1753198638160,22/07/2025 15:37,1753198638702,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 7-quantised,1,probe_selfreport,Eligible,Voucher
16,1753198638160,22/07/2025 15:37,1753198638703,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 8 ,Slightly Disagree,probe_selfreport,Eligible,Voucher
17,1753198638160,22/07/2025 15:37,1753198638703,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 8 -quantised,3,probe_selfreport,Eligible,Voucher
18,1753198638160,22/07/2025 15:37,1753198638703,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 9 ,Definitely Disagree,probe_selfreport,Eligible,Voucher
19,1753198638160,22/07/2025 15:37,1753198638703,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 9 -quantised,4,probe_selfreport,Eligible,Voucher
20,1753198638160,22/07/2025 15:37,1753198638703,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 10 ,Slightly Agree,probe_selfreport,Eligible,Voucher
21,1753198638160,22/07/2025 15:37,1753198638703,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 10 -quantised,2,probe_selfreport,Eligible,Voucher
22,1753198638160,22/07/2025 15:37,1753198638704,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 11 ,Definitely Agree,probe_selfreport,Eligible,Voucher
23,1753198638236,22/07/2025 15:37,1753198638704,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 11 -quantised,1,probe_selfreport,Eligible,Voucher
24,1753198638236,22/07/2025 15:37,1753198638704,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 12 ,Definitely Agree,probe_selfreport,Eligible,Voucher
25,1753198638236,22/07/2025 15:37,1753198638704,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 12 -quantised,1,probe_selfreport,Eligible,Voucher
26,1753198638236,22/07/2025 15:37,1753198638704,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 13 ,Definitely Disagree,probe_selfreport,Eligible,Voucher
27,1753198638236,22/07/2025 15:37,1753198638704,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 13 -quantised,4,probe_selfreport,Eligible,Voucher
28,1753198638236,22/07/2025 15:37,1753198638705,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 14 ,Definitely Disagree,probe_selfreport,Eligible,Voucher
29,1753198638236,22/07/2025 15:37,1753198638705,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 14 -quantised,4,probe_selfreport,Eligible,Voucher
30,1753198638236,22/07/2025 15:37,1753198638705,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 15 ,Slightly Agree,probe_selfreport,Eligible,Voucher
31,1753198638236,22/07/2025 15:37,1753198638705,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 15 -quantised,2,probe_selfreport,Eligible,Voucher
32,1753198638236,22/07/2025 15:37,1753198638705,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 16,Definitely Agree,probe_selfreport,Eligible,Voucher
33,1753198638236,22/07/2025 15:37,1753198638706,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 16-quantised,1,probe_selfreport,Eligible,Voucher
34,1753198638236,22/07/2025 15:37,1753198638706,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 17,Definitely Agree,probe_selfreport,Eligible,Voucher
35,1753198638236,22/07/2025 15:37,1753198638706,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 17-quantised,1,probe_selfreport,Eligible,Voucher
36,1753198638236,22/07/2025 15:37,1753198638706,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 18,Slightly Agree,probe_selfreport,Eligible,Voucher
37,1753198638236,22/07/2025 15:37,1753198638706,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 18-quantised,2,probe_selfreport,Eligible,Voucher
38,1753198638236,22/07/2025 15:37,1753198638707,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 19 ,Definitely Disagree,probe_selfreport,Eligible,Voucher
39,1753198638236,22/07/2025 15:37,1753198638707,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 19 -quantised,4,probe_selfreport,Eligible,Voucher
40,1753198638236,22/07/2025 15:37,1753198638707,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 20,Definitely Agree,probe_selfreport,Eligible,Voucher
41,1753198638236,22/07/2025 15:37,1753198638707,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 20-quantised,1,probe_selfreport,Eligible,Voucher
42,1753198638236,22/07/2025 15:37,1753198638707,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 21,Definitely Agree,probe_selfreport,Eligible,Voucher
43,1753198638308,22/07/2025 15:37,1753198638708,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 21-quantised,1,probe_selfreport,Eligible,Voucher
44,1753198638308,22/07/2025 15:37,1753198638708,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 22,Definitely Disagree,probe_selfreport,Eligible,Voucher
45,1753198638308,22/07/2025 15:37,1753198638708,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 22-quantised,4,probe_selfreport,Eligible,Voucher
46,1753198638308,22/07/2025 15:37,1753198638708,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 23 ,Slightly Disagree,probe_selfreport,Eligible,Voucher
47,1753198638308,22/07/2025 15:37,1753198638708,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 23 -quantised,3,probe_selfreport,Eligible,Voucher
48,1753198638308,22/07/2025 15:37,1753198638709,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 24,Slightly Agree,probe_selfreport,Eligible,Voucher
49,1753198638308,22/07/2025 15:37,1753198638709,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 24-quantised,2,probe_selfreport,Eligible,Voucher
50,1753198638308,22/07/2025 15:37,1753198638710,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 25,Definitely Disagree,probe_selfreport,Eligible,Voucher
51,1753198638308,22/07/2025 15:37,1753198638710,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 25-quantised,4,probe_selfreport,Eligible,Voucher
52,1753198638308,22/07/2025 15:37,1753198638710,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 26 ,Definitely Disagree,probe_selfreport,Eligible,Voucher
53,1753198638308,22/07/2025 15:37,1753198638711,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 26 -quantised,4,probe_selfreport,Eligible,Voucher
54,1753198638308,22/07/2025 15:37,1753198638711,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 27 ,Slightly Agree,probe_selfreport,Eligible,Voucher
55,1753198638308,22/07/2025 15:37,1753198638711,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 27 -quantised,2,probe_selfreport,Eligible,Voucher
56,1753198638308,22/07/2025 15:37,1753198638711,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 28,Slightly Agree,probe_selfreport,Eligible,Voucher
57,1753198638308,22/07/2025 15:37,1753198638712,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,question 28-quantised,2,probe_selfreport,Eligible,Voucher
58,1753198638308,22/07/2025 15:37,1753198638712,1,22/07/2025 16:37,234742,8,questionnaire-opi6,,48249182,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1513x708,,,,The Autism Spectrum Quotient Adult's Version,2,No,END QUESTIONNAIRE,223058,probe_selfreport,Eligible,Voucher
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
