Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,branch-s3b7,branch-dgjt
163,1753200262930,22/07/2025 16:04,1753203862930,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,41,trial,digit,9l7l5c,1,timedOut,,200.0000000000291,200,200.0000000000291,200.0000000000291,200,200.0000000000291,1,0,0,,Time Limit,screen,0,screen,trial,,4,space,30,30,140,Eligible,Voucher
164,1753200263105,22/07/2025 16:04,1753203863105,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,41,trial,mask,y6xgix,2,response,space,175,167,175,175,167,175,1,0,0,space,Keyboard Response,response,3,object-75,trial,,4,space,30,30,140,Eligible,Voucher
165,1753200264029,22/07/2025 16:04,1753203864029,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,42,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,5,space,30,30,140,Eligible,Voucher
166,1753200264241,22/07/2025 16:04,1753203864241,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,42,trial,mask,y6xgix,2,response,space,212,200,212,212,200,212,1,0,0,space,Keyboard Response,response,3,object-75,trial,,5,space,30,30,140,Eligible,Voucher
167,1753200265129,22/07/2025 16:04,1753203865129,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,43,trial,digit,9l7l5c,1,timedOut,,200,199,200,200,199,200,1,0,0,,Time Limit,screen,0,screen,trial,,3,noresponse,30,,110,Eligible,Voucher
168,1753200266029,22/07/2025 16:04,1753203866029,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,43,trial,mask,y6xgix,2,response,noresponse,901,901,901,901,901,901,1,0,0,,Time Limit,screen,0,screen,trial,,3,noresponse,30,,110,Eligible,Voucher
169,1753200266229,22/07/2025 16:04,1753203866229,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,44,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,9,space,30,30,130,Eligible,Voucher
170,1753200266450,22/07/2025 16:04,1753203866450,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,44,trial,mask,y6xgix,2,response,space,221,217,221,221,217,221,1,0,0,space,Keyboard Response,response,3,object-75,trial,,9,space,30,30,130,Eligible,Voucher
171,1753200267329,22/07/2025 16:04,1753203867329,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,45,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,6,space,30,30,160,Eligible,Voucher
172,1753200267456,22/07/2025 16:04,1753203867456,1,22/07/2025 18:04,234742,8,task-kwp2,,48249954,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2 - Self report,5,selfreport_probe,spreadsheet_sr,spreadsheet_sr,45,trial,mask,y6xgix,2,response,space,126,117,126,126,117,126,1,0,0,space,Keyboard Response,response,3,object-75,trial,,6,space,30,30,160,Eligible,Voucher
