Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,branch-s3b7,branch-dgjt
221,1753200904479,22/07/2025 16:15,1753204504479,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,65,trial,mask,y6xgix,2,response,space,204,200,204,204,200,204,1,0,0,space,Keyboard Response,response,3,object-75,trial,,9,space,7,7,140,Eligible,Voucher
222,1753200905375,22/07/2025 16:15,1753204505375,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,66,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,4,space,7,7,100,Eligible,Voucher
223,1753200905662,22/07/2025 16:15,1753204505662,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,66,trial,mask,y6xgix,2,response,space,287,284,287,287,284,287,1,0,0,space,Keyboard Response,response,3,object-75,trial,,4,space,7,7,100,Eligible,Voucher
224,1753200906475,22/07/2025 16:15,1753204506475,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,67,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,2,space,7,7,150,Eligible,Voucher
225,1753200906975,22/07/2025 16:15,1753204506975,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,67,trial,mask,y6xgix,2,response,space,499,483,499,499,483,499,1,0,0,space,Keyboard Response,response,3,object-75,trial,,2,space,7,7,150,Eligible,Voucher
226,1753200907575,22/07/2025 16:15,1753204507575,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,68,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,1,space,7,7,140,Eligible,Voucher
227,1753200907941,22/07/2025 16:15,1753204507941,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,68,trial,mask,y6xgix,2,response,space,366.0000000000291,350,366.0000000000291,366.0000000000291,350,366.0000000000291,1,0,0,space,Keyboard Response,response,3,object-75,trial,,1,space,7,7,140,Eligible,Voucher
228,1753200908675,22/07/2025 16:15,1753204508675,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,69,trial,digit,9l7l5c,1,timedOut,,200,200,200,200,200,200,1,0,0,,Time Limit,screen,0,screen,trial,,7,space,7,7,140,Eligible,Voucher
229,1753200908962,22/07/2025 16:15,1753204508962,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,69,trial,mask,y6xgix,2,response,space,287,283,287,287,283,287,1,0,0,space,Keyboard Response,response,3,object-75,trial,,7,space,7,7,140,Eligible,Voucher
230,1753200909775,22/07/2025 16:15,1753204509775,1,22/07/2025 18:15,234742,8,task-qc6r,,48250337,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,0,SART - JB2012 Exp2,7,selfreport_probe,spreadsheet3,spreadsheet3,70,trial,digit,9l7l5c,1,timedOut,,200.0000000000291,200,200.0000000000291,200.0000000000291,200,200.0000000000291,1,0,0,,Time Limit,screen,0,screen,trial,,5,space,7,7,170,Eligible,Voucher
