Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instr_text,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: random_blocks,Spreadsheet: random_trials,Spreadsheet: size,branch-s3b7,branch-dgjt
69,1753198799799,22/07/2025 15:39,1753202399799,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,32,trial_withFeedback,digit,9x41os,1,timedOut,,200.69999997616105,199.8000000000029,200.69999997616105,200.69999997616105,199.8000000000029,200.69999997616105,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,6,space,,,120,Eligible,Voucher
70,1753198799936,22/07/2025 15:39,1753202399936,1,22/07/2025 17:39,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,32,trial_withFeedback,mask,zabu7l,2,response,space,137.39999997615814,133.10000000000582,137.39999997615814,137.39999997615814,133.10000000000582,137.39999997615814,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,6,space,,,120,Eligible,Voucher
71,1753198801131,22/07/2025 15:40,1753202401131,1,22/07/2025 17:40,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,33,trial_withFeedback,digit,9x41os,1,timedOut,,200.69999997616105,199.8000000000029,200.69999997616105,200.69999997616105,199.8000000000029,200.69999997616105,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,3,noresponse,,,160,Eligible,Voucher
72,1753198801193,22/07/2025 15:40,1753202401193,1,22/07/2025 17:40,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,33,trial_withFeedback,mask,zabu7l,2,response,space,62.799999952316284,49.80000000000291,62.799999952316284,62.799999952316284,49.80000000000291,62.799999952316284,0,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,3,noresponse,,,160,Eligible,Voucher
73,1753198802380,22/07/2025 15:40,1753202402380,1,22/07/2025 17:40,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,34,trial_withFeedback,digit,9x41os,1,timedOut,,200.50000002383604,199.5,200.50000002383604,200.50000002383604,199.5,200.50000002383604,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,1,space,,,140,Eligible,Voucher
74,1753198802430,22/07/2025 15:40,1753202402430,1,22/07/2025 17:40,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,34,trial_withFeedback,mask,zabu7l,2,response,space,51.50000002383604,49.89999999999418,51.50000002383604,51.50000002383604,49.89999999999418,51.50000002383604,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,1,space,,,140,Eligible,Voucher
75,1753198803629,22/07/2025 15:40,1753202403629,1,22/07/2025 17:40,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,35,trial_withFeedback,digit,9x41os,1,timedOut,,200.60000002384186,199.6999999999971,200.60000002384186,200.60000002384186,199.6999999999971,200.60000002384186,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,5,space,,,120,Eligible,Voucher
76,1753198803670,22/07/2025 15:40,1753202403670,1,22/07/2025 17:40,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,35,trial_withFeedback,mask,zabu7l,2,response,space,41.69999997616105,33.30000000000291,41.69999997616105,41.69999997616105,33.30000000000291,41.69999997616105,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,5,space,,,120,Eligible,Voucher
77,1753198804862,22/07/2025 15:40,1753202404862,1,22/07/2025 17:40,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,36,trial_withFeedback,digit,9x41os,1,timedOut,,202.10000002384186,199.89999999999418,202.10000002384186,202.10000002384186,199.89999999999418,202.10000002384186,0,0,0,,Time Limit,screen,0,screen,trial_withFeedback,,2,space,,,130,Eligible,Voucher
78,1753198804890,22/07/2025 15:40,1753202404890,1,22/07/2025 17:40,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,36,trial_withFeedback,mask,zabu7l,2,response,space,29.299999928480247,16.30000000000291,29.299999928480247,29.299999928480247,16.30000000000291,29.299999928480247,1,0,0,space,Keyboard Response,response,3,object-127,trial_withFeedback,,2,space,,,130,Eligible,Voucher
79,1753198807051,22/07/2025 15:40,1753202407051,1,22/07/2025 17:40,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,3,instruction1,screen1,755tgm,1,continue,,1175.1999999284744,1165.699999999997,1175.1999999284744,1175.1999999284744,1165.699999999997,1175.1999999284744,1,0,0,,Click To Continue,next,3,object-4,instruction1,"## You've now completed the second practice.
<br/><br/>
## Well done!
<br/><br/>
## We'll do one more practice block, but this time you won't receive any feedback.",,,,,,Eligible,Voucher
80,1753198812038,22/07/2025 15:40,1753202412038,1,22/07/2025 17:40,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,3,ready,screen1,vndsmx,1,timedOut,,4996.199999976161,4995.199999999997,4996.199999976161,4996.199999976161,4995.199999999997,4996.199999976161,1,0,0,,Time Limit,screen,0,screen,ready,,,,,,,Eligible,Voucher
81,1753198812239,22/07/2025 15:40,1753202412239,1,22/07/2025 17:40,234742,8,task-ucpj,,48249299,BLINDED,13860366,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,SART - JB2012 Exp2 - Self report,5,probe_selfreport,spreadsheet_sr,spreadsheet_sr,1,trial,digit,9l7l5c,1,timedOut,,202.10000000000582,199.90000000000873,202.10000000000582,202.10000000000582,199.90000000000873,202.10000000000582,1,0,0,,Time Limit,screen,0,screen,trial,,1,space,,,150,Eligible,Voucher
