Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
51,1708609273169,22/02/2024 13:41:13,1708609273169,0,22/02/2024 13:41:13,158033,3,task-7qhb,,35422840,BLIND,10464981,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x695,,,0,Mind wandering task,5,set 1,dyslexia,,,,,Neurodiverse,,ACCEPT,set1_easy,8,comprehension,Comprehension questions,ers3wv,1,response,d,10107.199999994045,10098.800000000017,10107.199999994045,10107.199999994045,10098.800000000017,10107.199999994045,1,10107.199999994045,0,0,,Click Response,response A,2,object-66,comprehension,,,2,4,,,,,,Mention of the flat world was used to point out,d,the flatness of Mars,the lack of canals,the lack of seas,the lack of Martians,the lack of mountains,,,,,
52,1708609274080,22/02/2024 13:41:14,1708609274080,0,22/02/2024 13:41:14,158033,3,task-7qhb,,35422840,BLIND,10464981,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x695,,,0,Mind wandering task,5,set 1,dyslexia,,,,,Neurodiverse,,ACCEPT,set1_easy,28,passages,Sentences,3emlxf,1,response,,918.7999999999884,916.5999999999767,918.7999999999884,918.7999999999884,916.5999999999767,918.7999999999884,1,918.7999999999884,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,3,0,Passage 3,0,Easy,2,1,,,,,,,,,,,,
53,1708609276589,22/02/2024 13:41:16,1708609276589,0,22/02/2024 13:41:16,158033,3,task-7qhb,,35422840,BLIND,10464981,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x695,,,0,Mind wandering task,5,set 1,dyslexia,,,,,Neurodiverse,,ACCEPT,set1_easy,29,passages,Sentences,3emlxf,1,response,,2511.7000000000116,2499.8000000000175,2511.7000000000116,2511.7000000000116,2499.8000000000175,2511.7000000000116,1,2511.7000000000116,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,3,1,Local governments were our first governments.,1,Easy,2,1,,,,,,,,,,,,
54,1708609278203,22/02/2024 13:41:18,1708609278203,0,22/02/2024 13:41:18,158033,3,task-7qhb,,35422840,BLIND,10464981,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x695,,,0,Mind wandering task,5,set 1,dyslexia,,,,,Neurodiverse,,ACCEPT,set1_easy,7,probe,Thought probe,muxvwp,1,response,yes,1625.8999999999942,1616.1000000000058,1625.8999999999942,1625.8999999999942,1616.1000000000058,1625.8999999999942,1,1625.8999999999942,0,0,,Click Response,response,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,
55,1708609283381,22/02/2024 13:41:23,1708609283381,0,22/02/2024 13:41:23,158033,3,task-7qhb,,35422840,BLIND,10464981,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x695,,,0,Mind wandering task,5,set 1,dyslexia,,,,,Neurodiverse,,ACCEPT,set1_easy,30,passages,Sentences,3emlxf,1,response,,5187.599999982107,5183.099999999977,5187.599999982107,5187.599999982107,5183.099999999977,5187.599999982107,1,5187.599999982107,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,3,2,A local government was established when the oldest men in a primitive tribe formed a council and the tribe chose a chief.,0,Easy,2,1,,,,,,,,,,,,
56,1708609284796,22/02/2024 13:41:24,1708609284796,0,22/02/2024 13:41:24,158033,3,task-7qhb,,35422840,BLIND,10464981,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x695,,,0,Mind wandering task,5,set 1,dyslexia,,,,,Neurodiverse,,ACCEPT,set1_easy,31,passages,Sentences,3emlxf,1,response,,1418.8999999880907,1416.3000000000175,1418.8999999880907,1418.8999999880907,1416.3000000000175,1418.8999999880907,1,1418.8999999880907,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,3,3,"The tribe was seeking a better, safer life.",0,Easy,2,1,,,,,,,,,,,,
57,1708609289467,22/02/2024 13:41:29,1708609289467,0,22/02/2024 13:41:29,158033,3,task-7qhb,,35422840,BLIND,10464981,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x695,,,0,Mind wandering task,5,set 1,dyslexia,,,,,Neurodiverse,,ACCEPT,set1_easy,32,passages,Sentences,3emlxf,1,response,,4673.999999994034,4666.1999999999825,4673.999999994034,4673.999999994034,4666.1999999999825,4673.999999994034,1,4673.999999994034,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,3,4,"In the same way, the first English settlers soon realized that they needed rules and leaders after they landed at Jamestown, Virginia in 1607. ",0,Easy,2,1,,,,,,,,,,,,
58,1708609293057,22/02/2024 13:41:33,1708609293057,0,22/02/2024 13:41:33,158033,3,task-7qhb,,35422840,BLIND,10464981,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x695,,,0,Mind wandering task,5,set 1,dyslexia,,,,,Neurodiverse,,ACCEPT,set1_easy,33,passages,Sentences,3emlxf,1,response,,3598.299999994051,3582.8000000000175,3598.299999994051,3598.299999994051,3582.8000000000175,3598.299999994051,1,3598.299999994051,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,3,5,"At first, the settlers had to look out for themselves. ",0,Easy,2,1,,,,,,,,,,,,
59,1708609297553,22/02/2024 13:41:37,1708609297553,0,22/02/2024 13:41:37,158033,3,task-7qhb,,35422840,BLIND,10464981,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x695,,,0,Mind wandering task,5,set 1,dyslexia,,,,,Neurodiverse,,ACCEPT,set1_easy,34,passages,Sentences,3emlxf,1,response,,4511.399999999994,4499.5,4511.399999999994,4511.399999999994,4499.5,4511.399999999994,1,4511.399999999994,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,3,6,"They searched for gold, and had to find their own food and provide their own shelter.",0,Easy,2,1,,,,,,,,,,,,
60,1708609300924,22/02/2024 13:41:40,1708609300924,0,22/02/2024 13:41:40,158033,3,task-7qhb,,35422840,BLIND,10464981,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x695,,,0,Mind wandering task,5,set 1,dyslexia,,,,,Neurodiverse,,ACCEPT,set1_easy,35,passages,Sentences,3emlxf,1,response,,3382.199999982113,3366,3382.199999982113,3382.199999982113,3366,3382.199999982113,1,3382.199999982113,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,3,7,"As food supplies began to run low, and as the colonists faced hunger and disease, they saw that they needed to work together if the colony was to survive.",1,Easy,2,1,,,,,,,,,,,,
