Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,checkpoint-35ov,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
21,1722212798166,29/07/2024 00:26:38,1722216398166,1,29/07/2024 02:26:38,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,9,passages,Sentences,3emlxf,1,response,space,605.3000001430482,599.8999999999942,605.3000001430482,605.3000001430482,599.8999999999942,605.3000001430482,1,605.3000001430482,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,8,He suggested calling them Sonnets from the Portuguese.,0,Easy,2,2,,,,,,,,,,,,
22,1722212798648,29/07/2024 00:26:38,1722216398648,1,29/07/2024 02:26:38,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,10,passages,Sentences,3emlxf,1,response,space,487.5000000476866,483.3000000000029,487.5000000476866,487.5000000476866,483.3000000000029,487.5000000476866,1,487.5000000476866,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,9,He may have suggested this title to hide the fact that the poems were personal.,0,Easy,2,2,,,,,,,,,,,,
23,1722212799218,29/07/2024 00:26:39,1722216399218,1,29/07/2024 02:26:39,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,11,passages,Sentences,3emlxf,1,response,space,574.7999999523163,567.0999999999985,574.7999999523163,574.7999999523163,567.0999999999985,574.7999999523163,1,574.7999999523163,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,10,He thought that these poems were “the finest sonnets written in our language since Shakespeare’s.”,0,Easy,2,2,,,,,,,,,,,,
24,1722212799984,29/07/2024 00:26:39,1722216399984,1,29/07/2024 02:26:39,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,12,passages,Sentences,3emlxf,1,response,space,772.9000000000015,766.2000000000044,772.9000000000015,772.9000000000015,766.2000000000044,772.9000000000015,1,772.9000000000015,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,11,"Robert Browning’s opinion of Sonnets from the Portuguese was flattering to his wife, the same as his opinion of most of her poetry.",0,Easy,2,2,,,,,,,,,,,,
25,1722212800422,29/07/2024 00:26:40,1722216400422,1,29/07/2024 02:26:40,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,13,passages,Sentences,3emlxf,1,response,space,444.80000014304824,433.3999999999942,444.80000014304824,444.80000014304824,433.3999999999942,444.80000014304824,1,444.80000014304824,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,12,"He thought that she was a better poet than he was, and the world at that time agreed with him.",0,Easy,2,2,,,,,,,,,,,,
26,1722212800830,29/07/2024 00:26:40,1722216400830,1,29/07/2024 02:26:40,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,14,passages,Sentences,3emlxf,1,response,space,419.40000014305406,416.6000000000058,419.40000014305406,419.40000014305406,416.6000000000058,419.40000014305406,1,419.40000014305406,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,13,"He called her his “moon of poets,” and she considered him her sun.",0,Easy,2,2,,,,,,,,,,,,
27,1722212801317,29/07/2024 00:26:41,1722216401317,1,29/07/2024 02:26:41,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,15,passages,Sentences,3emlxf,1,response,space,489.80000014304824,483.29999999999563,489.80000014304824,489.80000014304824,483.29999999999563,489.80000014304824,1,489.80000014304824,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,14,Elizabeth Barrett Browning was a pure singer with a lovely lyrical tenderness.,0,Easy,2,2,,,,,,,,,,,,
28,1722212801725,29/07/2024 00:26:41,1722216401725,1,29/07/2024 02:26:41,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,16,passages,Sentences,3emlxf,1,response,space,414.3000000953689,400.3000000000029,414.3000000953689,414.3000000953689,400.3000000000029,414.3000000953689,1,414.3000000953689,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,15,She was the best poet of her sex since Sappho.,0,Easy,2,2,,,,,,,,,,,,
29,1722212802085,29/07/2024 00:26:42,1722216402085,1,29/07/2024 02:26:42,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,17,passages,Sentences,3emlxf,1,response,space,374.2000001430497,366.40000000000146,374.2000001430497,374.2000001430497,366.40000000000146,374.2000001430497,1,374.2000001430497,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,16,Her Sonnets reveal a woman’s secret soul like no other poetry in our literature up to that time.,0,Easy,2,2,,,,,,,,,,,,
30,1722212802535,29/07/2024 00:26:42,1722216402535,1,29/07/2024 02:26:42,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,18,passages,Sentences,3emlxf,1,response,space,458.1999999999971,449.8999999999942,458.1999999999971,458.1999999999971,449.8999999999942,458.1999999999971,1,458.1999999999971,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,17,"They did so with autobiographical honesty, fine moderation and fullness.",0,Easy,2,2,,,,,,,,,,,,
31,1722212802881,29/07/2024 00:26:42,1722216402881,1,29/07/2024 02:26:42,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,19,passages,Sentences,3emlxf,1,response,space,354.3000000000029,350,354.3000000000029,354.3000000000029,350,354.3000000000029,1,354.3000000000029,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,18,Her lyrical mastery shines in many passages of her writings.,0,Easy,2,2,,,,,,,,,,,,
32,1722212803197,29/07/2024 00:26:43,1722216403197,1,29/07/2024 02:26:43,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,20,passages,Sentences,3emlxf,1,response,space,320.3000000000029,316.70000000000437,320.3000000000029,320.3000000000029,316.70000000000437,320.3000000000029,1,320.3000000000029,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,19,Italy was a kind of promised land for Elizabeth Browning.,0,Easy,2,2,,,,,,,,,,,,
33,1722212803527,29/07/2024 00:26:43,1722216403527,1,29/07/2024 02:26:43,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,21,passages,Sentences,3emlxf,1,response,space,333.09999999999854,316.79999999999563,333.09999999999854,333.09999999999854,316.79999999999563,333.09999999999854,1,333.09999999999854,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,20,"In the summer, she and her husband lived in Florence or in little villages.",0,Easy,2,2,,,,,,,,,,,,
34,1722212803883,29/07/2024 00:26:43,1722216403883,1,29/07/2024 02:26:43,180633,7,task-353c,,39247164,BLIND,11510881,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x729,Prize Draw,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,Prize Draw,set2,set2,22,passages,Sentences,3emlxf,1,response,space,372.8000000000029,366.40000000000146,372.8000000000029,372.8000000000029,366.40000000000146,372.8000000000029,1,372.8000000000029,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,21,She drank in the sun of the south and the warmth of her husband’s love.,0,Easy,2,2,,,,,,,,,,,,
