Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-tloe,branch-b7np,randomiser-oo54,randomiser-5zfx,randomiser-rrwr,randomiser-39gv,branch-m511,quota-so7f,quota-bi7i,branch-k46k,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
21,1703308307507,23/12/2023 05:11:47,1703308307507,0,23/12/2023 05:11:47,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,11,passages,Sentences,3emlxf,1,response,,2954.577000047677,2950.495999999999,2954.577000047677,2954.577000047677,2950.495999999999,2954.577000047677,1,2954.577000047677,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,10,He thought that these poems were “the finest sonnets written in our language since Shakespeare’s.”,0,Easy,2,2,,,,,,,,,,,,
22,1703308311335,23/12/2023 05:11:51,1703308311335,0,23/12/2023 05:11:51,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,12,passages,Sentences,3emlxf,1,response,,3832.1809999523102,3816.5139999999956,3832.1809999523102,3832.1809999523102,3816.5139999999956,3832.1809999523102,1,3832.1809999523102,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,11,"Robert Browning’s opinion of Sonnets from the Portuguese was flattering to his wife, the same as his opinion of most of her poetry.",0,Easy,2,2,,,,,,,,,,,,
23,1703308314010,23/12/2023 05:11:54,1703308314010,0,23/12/2023 05:11:54,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,13,passages,Sentences,3emlxf,1,response,,2690.8669999999984,2683.225999999995,2690.8669999999984,2690.8669999999984,2683.225999999995,2690.8669999999984,1,2690.8669999999984,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,12,"He thought that she was a better poet than he was, and the world at that time agreed with him.",0,Easy,2,2,,,,,,,,,,,,
24,1703308318653,23/12/2023 05:11:58,1703308318653,0,23/12/2023 05:11:58,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,14,passages,Sentences,3emlxf,1,response,,4650.451000000001,4633.7850000000035,4650.451000000001,4650.451000000001,4633.7850000000035,4650.451000000001,1,4650.451000000001,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,13,"He called her his “moon of poets,” and she considered him her sun.",0,Easy,2,2,,,,,,,,,,,,
25,1703308321273,23/12/2023 05:12:01,1703308321273,0,23/12/2023 05:12:01,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,15,passages,Sentences,3emlxf,1,response,,2636.655999952316,2633.228000000003,2636.655999952316,2636.655999952316,2633.228000000003,2636.655999952316,1,2636.655999952316,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,14,Elizabeth Barrett Browning was a pure singer with a lovely lyrical tenderness.,0,Easy,2,2,,,,,,,,,,,,
26,1703308323927,23/12/2023 05:12:03,1703308323927,0,23/12/2023 05:12:03,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,16,passages,Sentences,3emlxf,1,response,,2657.627999999997,2649.8940000000002,2657.627999999997,2657.627999999997,2649.8940000000002,2657.627999999997,1,2657.627999999997,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,15,She was the best poet of her sex since Sappho.,0,Easy,2,2,,,,,,,,,,,,
27,1703308331517,23/12/2023 05:12:11,1703308331517,0,23/12/2023 05:12:11,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,17,passages,Sentences,3emlxf,1,response,,7597.533999952313,7583.698000000004,7597.533999952313,7597.533999952313,7583.698000000004,7597.533999952313,1,7597.533999952313,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,16,Her Sonnets reveal a woman’s secret soul like no other poetry in our literature up to that time.,0,Easy,2,2,,,,,,,,,,,,
28,1703308334170,23/12/2023 05:12:14,1703308334170,0,23/12/2023 05:12:14,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,18,passages,Sentences,3emlxf,1,response,,2666.5599999999977,2649.8940000000002,2666.5599999999977,2666.5599999999977,2649.8940000000002,2666.5599999999977,1,2666.5599999999977,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,17,"They did so with autobiographical honesty, fine moderation and fullness.",0,Easy,2,2,,,,,,,,,,,,
29,1703308337519,23/12/2023 05:12:17,1703308337519,0,23/12/2023 05:12:17,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,19,passages,Sentences,3emlxf,1,response,,3366.1419999999925,3350.554999999993,3366.1419999999925,3366.1419999999925,3350.554999999993,3366.1419999999925,1,3366.1419999999925,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,18,Her lyrical mastery shines in many passages of her writings.,0,Easy,2,2,,,,,,,,,,,,
30,1703308339122,23/12/2023 05:12:19,1703308339122,0,23/12/2023 05:12:19,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,20,passages,Sentences,3emlxf,1,response,,1616.6019999999844,1599.935999999987,1616.6019999999844,1616.6019999999844,1599.935999999987,1616.6019999999844,1,1616.6019999999844,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,19,Italy was a kind of promised land for Elizabeth Browning.,0,Easy,2,2,,,,,,,,,,,,
31,1703308342331,23/12/2023 05:12:22,1703308342331,0,23/12/2023 05:12:22,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,21,passages,Sentences,3emlxf,1,response,,3228.7510000238544,3216.5380000000005,3228.7510000238544,3228.7510000238544,3216.5380000000005,3228.7510000238544,1,3228.7510000238544,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,20,"In the summer, she and her husband lived in Florence or in little villages.",0,Easy,2,2,,,,,,,,,,,,
32,1703308344742,23/12/2023 05:12:24,1703308344742,0,23/12/2023 05:12:24,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,22,passages,Sentences,3emlxf,1,response,,2422.9129999523284,2416.570000000007,2422.9129999523284,2422.9129999523284,2416.570000000007,2422.9129999523284,1,2422.9129999523284,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,21,She drank in the sun of the south and the warmth of her husband’s love.,0,Easy,2,2,,,,,,,,,,,,
33,1703308347759,23/12/2023 05:12:27,1703308347759,0,23/12/2023 05:12:27,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,23,passages,Sentences,3emlxf,1,response,,3023.243000047689,3017.258999999991,3023.243000047689,3023.243000047689,3017.258999999991,3023.243000047689,1,3023.243000047689,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,22,She blossomed in a life of delicate happiness for fifteen years.,0,Easy,2,2,,,,,,,,,,,,
34,1703308349835,23/12/2023 05:12:29,1703308349835,0,23/12/2023 05:12:29,155541,10,task-ppjy,,33849061,BLIND,10012318,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,0,Mind wandering task,5,,control,,,,set 2,Controls,ACCEPT,,Controls,set2_easy,24,passages,Sentences,3emlxf,1,response,,2082.5839999523305,2066.5840000000026,2082.5839999523305,2082.5839999523305,2066.5840000000026,2082.5839999523305,1,2082.5839999523305,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,23,"She found friends in Italy, most of them cultured Americans.",0,Easy,2,2,,,,,,,,,,,,
