origID,roar_acc,roar_logRt,total_tooFast,total_tooSlow,perc_tooFast,perc_tooSlow,roar_exclude_rt
10124858,0.9047619047619048,5.224849614953088,13,0,15.476190476190476,0,2
10126244,0.8928571428571429,5.917120216853565,2,0,2.380952380952381,0,0
10126674,0.9880952380952381,5.835309005588963,0,0,0,0,0
10132722,0.8809523809523809,5.897290863400956,5,0,5.952380952380952,0,0
10145219,0.8809523809523809,6.439734552341895,0,0,0,0,0
10152098,0.9523809523809523,6.0168981506750425,0,0,0,0,0
10152762,0.9285714285714286,5.349162592780199,12,0,14.285714285714285,0,2
10153970,0.9404761904761905,5.66349346386089,6,0,7.142857142857142,0,0
10158586,0.9761904761904762,6.032231261367911,0,0,0,0,0
10163615,0.9642857142857143,5.284466001268993,25,0,29.761904761904763,0,2
10164423,0.9166666666666666,5.356687355208921,14,0,16.666666666666664,0,2
10168138,0.9642857142857143,5.759309993246503,2,0,2.380952380952381,0,0
10182962,0.9404761904761905,5.72171109584896,4,0,4.761904761904762,0,0
10205713,0.9285714285714286,5.644439236208922,4,0,4.761904761904762,0,0
10211803,0.9880952380952381,5.786439585479711,2,0,2.380952380952381,0,0
10216339,0.9285714285714286,5.4885336753252645,3,0,3.571428571428571,0,0
10224591,0.8571428571428571,6.130036286983296,2,0,2.380952380952381,0,0
10225087,0.9880952380952381,5.7678384728378385,0,0,0,0,0
10243319,0.9642857142857143,5.312680420671316,9,0,10.714285714285714,0,2
10266512,0.9880952380952381,6.029582243633401,0,0,0,0,0
10276472,0.9523809523809523,5.482270959134782,2,0,2.380952380952381,0,0
10450156,0.7976190476190477,5.25703452564911,18,0,21.428571428571427,0,2
10495625,0.9047619047619048,5.920011354441124,0,0,0,0,0
10627297,0.9523809523809523,5.539055151758059,1,0,1.1904761904761905,0,0
10651892,0.9642857142857143,6.0040171580951345,0,0,0,0,0
10020157,0.9166666666666666,5.771622032127636,1,0,1.1904761904761905,0,0
10039055,0.9166666666666666,6.113766863378626,0,0,0,0,0
10040343,0.9761904761904762,6.543219668047704,0,0,0,0,0
10047113,0.9523809523809523,5.428119995062985,7,0,8.333333333333332,0,0
10050955,0.8571428571428571,7.2286142160339795,0,0,0,0,0
10054389,0.9523809523809523,5.5055218022133054,6,0,7.142857142857142,0,0
10055189,0.9642857142857143,6.091059443262107,0,0,0,0,0
10085587,0.9285714285714286,5.904582891773628,2,0,2.380952380952381,0,0
10158473,0.9404761904761905,6.227636950614741,0,0,0,0,0
10161313,0.8928571428571429,6.571808655240313,0,0,0,0,0
10166217,0.9642857142857143,5.924470586589366,10,0,11.904761904761903,0,2
10182214,0.9166666666666666,6.636570390305148,0,0,0,0,0
10190839,0.8928571428571429,5.8153762862615554,7,0,8.333333333333332,0,0
10202447,0.9285714285714286,5.616318807011289,2,0,2.380952380952381,0,0
10221629,0.8928571428571429,5.567586009316228,4,0,4.761904761904762,0,0
10238510,0.9285714285714286,5.4013540410350656,7,0,8.333333333333332,0,0
10244258,0.9761904761904762,5.9632078583929,0,0,0,0,0
10249816,0.9523809523809523,5.237468590654883,19,0,22.61904761904762,0,2
10258628,0.9642857142857143,5.766577976868864,0,0,0,0,0
10260593,0.8809523809523809,6.203049083225345,0,0,0,0,0
10289721,0.9285714285714286,5.392744249504793,25,0,29.761904761904763,0,2
10301401,0.9523809523809523,6.805519806632602,0,0,0,0,0
