Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Randomise questionnaire elements?,Question Key,Response
2,1721318472875,18/07/2024 16:01:12,1721314844304,1,18/07/2024 16:00:44,179131,14,questionnaire-32sr,,39058981,BLIND,11455863,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1477x715,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,139942
1,1721646702456,22/07/2024 11:11:42,1721646702330,1,22/07/2024 12:11:42,179131,14,questionnaire-32sr,,39122841,BLIND,11475464,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1680x1050,1680x889,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721646706323,22/07/2024 11:11:46,1721646706074,1,22/07/2024 12:11:46,179131,14,questionnaire-32sr,,39122841,BLIND,11475464,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1680x1050,1663x889,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,3745
1,1721649320402,22/07/2024 11:55:20,1721649319331,1,22/07/2024 12:55:19,179131,14,questionnaire-32sr,,39123995,BLIND,11475694,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721649372463,22/07/2024 11:56:12,1721649371305,1,22/07/2024 12:56:11,179131,14,questionnaire-32sr,,39123995,BLIND,11475694,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x911,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,51974
1,1721650480144,22/07/2024 12:14:40,1721650473191,1,22/07/2024 13:14:33,179131,14,questionnaire-32sr,,39124360,BLIND,11475795,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x720,1232x598,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721650551421,22/07/2024 12:15:51,1721650544416,1,22/07/2024 13:15:44,179131,14,questionnaire-32sr,,39124360,BLIND,11475795,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x720,1217x598,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,71225
1,1721660011952,22/07/2024 14:53:31,1721660010356,1,22/07/2024 15:53:30,179131,14,questionnaire-32sr,,39128367,BLIND,11476822,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1366x768,1358x654,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721660497379,22/07/2024 15:01:37,1721660495839,1,22/07/2024 16:01:35,179131,14,questionnaire-32sr,,39128367,BLIND,11476822,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1366x768,1343x654,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,485482
1,1721670990076,22/07/2024 17:56:30,1721670989986,1,22/07/2024 18:56:29,179131,14,questionnaire-32sr,,39133659,BLIND,11480604,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 128.0,1536x864,1536x702,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721671149866,22/07/2024 17:59:09,1721671149775,1,22/07/2024 18:59:09,179131,14,questionnaire-32sr,,39133659,BLIND,11480604,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 128.0,1536x864,1536x702,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,159789
1,1721730570622,23/07/2024 10:29:30,1721730570533,1,23/07/2024 11:29:30,179131,14,questionnaire-32sr,,39143581,BLIND,11485637,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1429x680,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721730578614,23/07/2024 10:29:38,1721730578471,1,23/07/2024 11:29:38,179131,14,questionnaire-32sr,,39143581,BLIND,11485637,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1429x680,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,7938
1,1721761978709,23/07/2024 19:12:58,1721761978638,1,23/07/2024 20:12:58,179131,14,questionnaire-32sr,,39157938,BLIND,11489771,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 90.0.4430.93,1366x768,1366x625,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721762032021,23/07/2024 19:13:52,1721762031927,1,23/07/2024 20:13:51,179131,14,questionnaire-32sr,,39157938,BLIND,11489771,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 90.0.4430.93,1366x768,1349x625,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,53289
1,1721810105494,24/07/2024 08:35:05,1721810102508,1,24/07/2024 09:35:02,179131,14,questionnaire-32sr,,39162928,BLIND,11491302,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1600x900,1552x790,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721810110354,24/07/2024 08:35:10,1721810107416,1,24/07/2024 09:35:07,179131,14,questionnaire-32sr,,39162928,BLIND,11491302,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1600x900,1537x790,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,4908
1,1721841807200,24/07/2024 17:23:27,1721841807464,1,24/07/2024 18:23:27,179131,14,questionnaire-32sr,,39185886,BLIND,11495903,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1280x559,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721841927087,24/07/2024 17:25:27,1721841927351,1,24/07/2024 18:25:27,179131,14,questionnaire-32sr,,39185886,BLIND,11495903,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x720,1263x559,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,119888
1,1721911583981,25/07/2024 12:46:23,1721911589853,1,25/07/2024 13:46:29,179131,14,questionnaire-32sr,,39199563,BLIND,11498786,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1366x768,1358x654,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721911751860,25/07/2024 12:49:11,1721911757707,1,25/07/2024 13:49:17,179131,14,questionnaire-32sr,,39199563,BLIND,11498786,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1366x768,1343x654,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,167854
1,1721917629536,25/07/2024 14:27:09,1721917629417,1,25/07/2024 15:27:09,179131,14,questionnaire-32sr,,39201798,BLIND,11499809,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x800,1232x652,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721918302526,25/07/2024 14:38:22,1721918302168,1,25/07/2024 15:38:22,179131,14,questionnaire-32sr,,39201798,BLIND,11499809,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x800,1217x652,Consent,,,Info sheet,5,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,672751
1,1721918886168,25/07/2024 14:48:06,1721918886092,1,25/07/2024 15:48:06,179131,14,questionnaire-32sr,,39202396,BLIND,11500002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,Consent,,,Info sheet,5,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
