Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
156,1719918662150,02/07/2024 11:11:02,1719922262150,1,02/07/2024 13:11:02,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,98,passages,Sentences,3emlxf,1,response,space,852.6999999999534,850,852.6999999999534,852.6999999999534,850,852.6999999999534,1,852.6999999999534,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,3,"It was seeking a better, safer life.",0,Difficult,1,2,,,,,,,,,,,,
157,1719918665799,02/07/2024 11:11:05,1719922265799,1,02/07/2024 13:11:05,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,99,passages,Sentences,3emlxf,1,response,space,3651.2999999641906,3650,3651.2999999641906,3651.2999999641906,3650,3651.2999999641906,1,3651.2999999641906,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,4,"In the same way, the need for rules and leaders was realized by the first English settlers who landed at Jamestown, Virginia, in 1607.",0,Difficult,1,2,,,,,,,,,,,,
158,1719918667335,02/07/2024 11:11:07,1719922267335,1,02/07/2024 13:11:07,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,100,passages,Sentences,3emlxf,1,response,space,1536.9999999522697,1533.2999999999302,1536.9999999522697,1536.9999999522697,1533.2999999999302,1536.9999999522697,1,1536.9999999522697,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,5,"At first, the settlers at Jamestown had to shepherd themselves.",0,Difficult,1,2,,,,,,,,,,,,
159,1719918669120,02/07/2024 11:11:09,1719922269120,1,02/07/2024 13:11:09,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,101,passages,Sentences,3emlxf,1,response,space,1788.6999999523396,1783.5,1788.6999999523396,1788.6999999523396,1783.5,1788.6999999523396,1,1788.6999999523396,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,6,"The colonists searched for gold, and had to find their own sustenance and provide their own sanctuary. ",0,Difficult,1,2,,,,,,,,,,,,
160,1719918672072,02/07/2024 11:11:12,1719922272072,1,02/07/2024 13:11:12,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,102,passages,Sentences,3emlxf,1,response,space,2957.4000000000233,2949.5999999999767,2957.4000000000233,2957.4000000000233,2949.5999999999767,2957.4000000000233,1,2957.4000000000233,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,7,"As food supplies began to run low, and as the colonists faced hunger and disease, they saw that they needed to work together if the colony was to survive.",1,Difficult,1,2,,,,,,,,,,,,
161,1719918675186,02/07/2024 11:11:15,1719922275186,1,02/07/2024 13:11:15,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,20,probe,Thought probe,muxvwp,1,response,On Task,3121.8000000000466,3116.9000000000233,3121.8000000000466,3121.8000000000466,3116.9000000000233,3121.8000000000466,1,3121.8000000000466,0,0,,Click Response,On Task,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,
162,1719918676688,02/07/2024 11:11:16,1719922276688,1,02/07/2024 13:11:16,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,103,passages,Sentences,3emlxf,1,response,space,1506.9999999642605,1500.0999999999767,1506.9999999642605,1506.9999999642605,1500.0999999999767,1506.9999999642605,1,1506.9999999642605,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,8,A council to make laws for the colony was formed by the settlers.,0,Difficult,1,2,,,,,,,,,,,,
163,1719918678240,02/07/2024 11:11:18,1719922278240,1,02/07/2024 13:11:18,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,104,passages,Sentences,3emlxf,1,response,space,1558.3000000000466,1550,1558.3000000000466,1558.3000000000466,1550,1558.3000000000466,1,1558.3000000000466,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,9,Captain John Smith was chosen as president of the council to see that the laws were implemented.,0,Difficult,1,2,,,,,,,,,,,,
164,1719918679752,02/07/2024 11:11:19,1719922279752,1,02/07/2024 13:11:19,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,105,passages,Sentences,3emlxf,1,response,space,1520.5999999523629,1516.5,1520.5999999523629,1520.5999999523629,1516.5,1520.5999999523629,1,1520.5999999523629,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,10,This government at Jamestown was the first local government in America.,1,Difficult,1,2,,,,,,,,,,,,
165,1719918681568,02/07/2024 11:11:21,1719922281568,1,02/07/2024 13:11:21,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,21,probe,Thought probe,muxvwp,1,response,Unintentional,1820.3999999642838,1816.7000000000698,1820.3999999642838,1820.3999999642838,1816.7000000000698,1820.3999999642838,1,1820.3999999642838,0,0,,Click Response,Unintentional,4,object-84,probe,,,,,,,,,,,,,,,,,,,,,
166,1719918683448,02/07/2024 11:11:23,1719922283448,1,02/07/2024 13:11:23,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,106,passages,Sentences,3emlxf,1,response,space,1883,1866.5,1883,1883,1866.5,1883,1,1883,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,11,"Today, local government is still the first and most important government in our lives.",0,Difficult,1,2,,,,,,,,,,,,
167,1719918685112,02/07/2024 11:11:25,1719922285112,1,02/07/2024 13:11:25,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,107,passages,Sentences,3emlxf,1,response,space,1680.9999999761349,1666.5999999999767,1680.9999999761349,1680.9999999761349,1666.5999999999767,1680.9999999761349,1,1680.9999999761349,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,12,"It protects our lives, our safety, and our homes, and it helps to keep our environment clean.",1,Difficult,1,2,,,,,,,,,,,,
168,1719918686866,02/07/2024 11:11:26,1719922286866,1,02/07/2024 13:11:26,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,22,probe,Thought probe,muxvwp,1,response,On Task,1768.7999999523163,1766.6999999999534,1768.7999999523163,1768.7999999523163,1766.6999999999534,1768.7999999523163,1,1768.7999999523163,0,0,,Click Response,On Task,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,
169,1719918689288,02/07/2024 11:11:29,1719922289288,1,02/07/2024 13:11:29,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,108,passages,Sentences,3emlxf,1,response,space,2423.6999999762047,2416.8000000000466,2423.6999999762047,2423.6999999762047,2416.8000000000466,2423.6999999762047,1,2423.6999999762047,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,6,13,"Schools, libraries, and other important services are provided to us by local government.",0,Difficult,1,2,,,,,,,,,,,,
170,1719918690520,02/07/2024 11:11:30,1719922290520,1,02/07/2024 13:11:30,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,6,instr_comprehension,Comprehension instruction,ki2jxw,1,response,space,1238.5,1233.5,1238.5,1238.5,1233.5,1238.5,1,1238.5,0,0,,Keyboard Response,Keyboard Response,2,object-78,instr_comprehension,,,,,,,,,,,,,,,,,,,,,
171,1719918700377,02/07/2024 11:11:40,1719922300377,1,02/07/2024 13:11:40,179131,14,task-353c,,38673791,BLIND,11354582,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1273x694,Consent,,0,Mind wandering task,11,Set2,Consent,Over 18,Proficiency English,set2,set2,25,comprehension,Comprehension questions,ers3wv,1,response,d,9862.399999976158,9849.900000000023,9862.399999976158,9862.399999976158,9849.900000000023,9862.399999976158,1,9862.399999976158,0,0,,Click Response,response D,5,object-69,comprehension,,,6,1,,,,,,The first colonial government was,d,tribal,city,county,local,federal,,,,,
