Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-3edb,checkpoint-sudm,branch-hm4e,branch-vf4a,Randomise questionnaire elements?,Question Key,Response
1,1721981023481,26/07/2024 08:03:43,1721981036050,1,26/07/2024 09:03:56,179131,14,questionnaire-qazy,,39211841,BLIND,11502755,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x720,1232x572,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721981036944,26/07/2024 08:03:56,1721981049535,1,26/07/2024 09:04:09,179131,14,questionnaire-qazy,,39211841,BLIND,11502755,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x720,1217x572,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,13485
1,1722200816661,28/07/2024 21:06:56,1722200818543,1,28/07/2024 22:06:58,179131,14,questionnaire-qazy,,39246486,BLIND,11510574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1528x750,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1722200883409,28/07/2024 21:08:03,1722200885592,1,28/07/2024 22:08:05,179131,14,questionnaire-qazy,,39246486,BLIND,11510574,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1513x750,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,67050
1,1722202729643,28/07/2024 21:38:49,1722202729581,1,28/07/2024 22:38:49,179131,14,questionnaire-qazy,,39246615,BLIND,11510688,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1368x912,1368x761,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1722202748347,28/07/2024 21:39:08,1722202748322,1,28/07/2024 22:39:08,179131,14,questionnaire-qazy,,39246615,BLIND,11510688,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1368x912,1351x761,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,18741
1,1722325336339,30/07/2024 07:42:16,1722325336255,1,30/07/2024 08:42:16,179131,14,questionnaire-qazy,,39271821,BLIND,11517134,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1488x714,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1722325362954,30/07/2024 07:42:42,1722325362898,1,30/07/2024 08:42:42,179131,14,questionnaire-qazy,,39271821,BLIND,11517134,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1473x714,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,26643
1,1721921091535,25/07/2024 15:24:51,1721921091469,1,25/07/2024 16:24:51,179131,14,questionnaire-qazy,,39203379,BLIND,11500002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721921099348,25/07/2024 15:24:59,1721921099327,1,25/07/2024 16:24:59,179131,14,questionnaire-qazy,,39203379,BLIND,11500002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x911,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,7858
1,1721811297214,24/07/2024 08:54:57,1721811294137,1,24/07/2024 09:54:54,179131,14,questionnaire-qazy,,39163166,BLIND,11491302,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1600x900,1552x790,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721811300753,24/07/2024 08:55:00,1721811297706,1,24/07/2024 09:54:57,179131,14,questionnaire-qazy,,39163166,BLIND,11491302,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1600x900,1537x790,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,3569
1,1721732183942,23/07/2024 10:56:23,1721732183882,1,23/07/2024 11:56:23,179131,14,questionnaire-qazy,,39144177,BLIND,11485637,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1429x680,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721732186616,23/07/2024 10:56:26,1721732186493,1,23/07/2024 11:56:26,179131,14,questionnaire-qazy,,39144177,BLIND,11485637,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1429x680,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,2611
1,1721647922894,22/07/2024 11:32:02,1721647922715,1,22/07/2024 12:32:02,179131,14,questionnaire-qazy,,39123527,BLIND,11475464,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1680x1050,1680x889,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721647928029,22/07/2024 11:32:08,1721647927947,1,22/07/2024 12:32:07,179131,14,questionnaire-qazy,,39123527,BLIND,11475464,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1680x1050,1663x889,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,5232
1,1721244595418,17/07/2024 19:29:55,1721240967554,1,17/07/2024 19:29:27,179131,14,questionnaire-qazy,,39042040,BLIND,11448509,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1494x715,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721244611025,17/07/2024 19:30:11,1721240983205,1,17/07/2024 19:29:43,179131,14,questionnaire-qazy,,39042040,BLIND,11448509,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1536x864,1477x715,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,15652
1,1721203167578,17/07/2024 07:59:27,1721203167545,1,17/07/2024 08:59:27,179131,14,questionnaire-qazy,,39021980,BLIND,11443514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1098x742,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1721203175177,17/07/2024 07:59:35,1721203175142,1,17/07/2024 08:59:35,179131,14,questionnaire-qazy,,39021980,BLIND,11443514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1083x742,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,7597
1,1720892630972,13/07/2024 17:43:50,1720892630359,1,13/07/2024 18:43:50,179131,14,questionnaire-qazy,,38955924,BLIND,11421833,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 123.0.0.0,1536x864,1536x730,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720892645667,13/07/2024 17:44:05,1720892645126,1,13/07/2024 18:44:05,179131,14,questionnaire-qazy,,38955924,BLIND,11421833,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 123.0.0.0,1536x864,1536x730,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,14767
1,1720783469249,12/07/2024 11:24:29,1720783554056,1,12/07/2024 12:25:54,179131,14,questionnaire-qazy,,38936744,BLIND,11416216,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,2568x1286,2560x1279,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720783473614,12/07/2024 11:24:33,1720783558449,1,12/07/2024 12:25:58,179131,14,questionnaire-qazy,,38936744,BLIND,11416216,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,2568x1286,2543x1279,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,4393
1,1720711523418,11/07/2024 15:25:23,1720711523406,1,11/07/2024 16:25:23,179131,14,questionnaire-qazy,,38913000,BLIND,11411662,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1528x708,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720711532600,11/07/2024 15:25:32,1720711532608,1,11/07/2024 16:25:32,179131,14,questionnaire-qazy,,38913000,BLIND,11411662,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1536x864,1513x708,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,9203
1,1720689052988,11/07/2024 09:10:52,1720689052892,1,11/07/2024 10:10:52,179131,14,questionnaire-qazy,,38890843,BLIND,11407914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x929,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
2,1720689060494,11/07/2024 09:11:00,1720689060448,1,11/07/2024 10:11:00,179131,14,questionnaire-qazy,,38890843,BLIND,11407914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1903x929,Consent,,,Debrief sheet,3,Set1,Consent,Over 18,Proficiency English,No,END QUESTIONNAIRE,7556
1,1720195444324,05/07/2024 16:04:04,1720195443058,1,05/07/2024 17:04:03,179131,14,questionnaire-qazy,,38777094,BLIND,11378346,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1280x720,1232x598,Consent,,,Debrief sheet,3,Set2,Consent,Over 18,Proficiency English,No,BEGIN QUESTIONNAIRE,
