Participant Private ID,Tree Node Key,Task Name,Task Version,Current Spreadsheet,Trial Number,Display,Screen,Response Type,Response,Tag,Reaction Time,Spreadsheet: digit,Spreadsheet: correct,Spreadsheet: size,randomiser-mq2e
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,13,probe,ready,timedOut,NA,NA,4996.399999952293,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,14,probe,screen1,response,NA,tune out,3076.1999999523396,NA,NA,NA,probe_selfreport
13860366,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,14,probe,ready,timedOut,NA,NA,4996.599999976112,NA,NA,NA,probe_selfreport
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,3,probe,screen1,response,NA,on task,3823,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,3,probe,ready,timedOut,NA,NA,5001,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,4,probe,screen1,response,NA,tune out,4651,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,4,probe,ready,timedOut,NA,NA,4999,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,5,probe,screen1,response,NA,on task,1215.000000000029,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,5,probe,ready,timedOut,NA,NA,5000,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,6,probe,screen1,response,NA,on task,2037.000000000029,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,6,probe,ready,timedOut,NA,NA,5000,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,7,probe,screen1,response,NA,tune out,3508,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,7,probe,ready,timedOut,NA,NA,5002,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,8,probe,screen1,response,NA,on task,1169,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,8,probe,ready,timedOut,NA,NA,4999.000000000058,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,9,probe,screen1,response,NA,tune out,2474,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,9,probe,ready,timedOut,NA,NA,5001,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,10,probe,screen1,response,NA,on task,1353,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,10,probe,ready,timedOut,NA,NA,5000,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,11,probe,screen1,response,NA,on task,1068,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,11,probe,ready,timedOut,NA,NA,5001,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,12,probe,screen1,response,NA,tune out,5289,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,12,probe,ready,timedOut,NA,NA,5000,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,13,probe,screen1,response,NA,on task,1419,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,13,probe,ready,timedOut,NA,NA,5001.000000000058,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,14,probe,screen1,response,NA,on task,1158,NA,NA,NA,selfreport_probe
13860618,task-qc6r,SART - JB2012 Exp2,7,spreadsheet3,14,probe,ready,timedOut,NA,NA,5000,NA,NA,NA,selfreport_probe
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,3,probe,screen1,response,NA,space out,2223,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,3,probe,ready,timedOut,NA,NA,5000,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,4,probe,screen1,response,NA,on task,3205,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,4,probe,ready,timedOut,NA,NA,5001,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,5,probe,screen1,response,NA,tune out,9129,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,5,probe,ready,timedOut,NA,NA,5000,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,6,probe,screen1,response,NA,on task,3290,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,6,probe,ready,timedOut,NA,NA,5000,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,7,probe,screen1,response,NA,on task,3706,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,7,probe,ready,timedOut,NA,NA,5001.000000000058,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,8,probe,screen1,response,NA,on task,2673,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,8,probe,ready,timedOut,NA,NA,5000,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,9,probe,screen1,response,NA,on task,1072,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,9,probe,ready,timedOut,NA,NA,5000,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,10,probe,screen1,response,NA,on task,1055,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,10,probe,ready,timedOut,NA,NA,5000,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,11,probe,screen1,response,NA,on task,1290,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,11,probe,ready,timedOut,NA,NA,5000.000000000058,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,12,probe,screen1,response,NA,tune out,2805,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,12,probe,ready,timedOut,NA,NA,5001,NA,NA,NA,probe_selfreport
13862736,task-jj2g,SART - JB2012 Exp2,7,spreadsheet3,13,probe,screen1,response,NA,on task,2238.000000000058,NA,NA,NA,probe_selfreport
