Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-u6qh,checkpoint-wwj4,checkpoint-75d5,branch-2gum,branch-dg21,branch-5lq7,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: passage,Spreadsheet: line,Spreadsheet: line_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: question_text,Spreadsheet: correct_response,Spreadsheet: response_a,Spreadsheet: response_b,Spreadsheet: response_c,Spreadsheet: response_d,Spreadsheet: response_e,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Manipulation: Spreadsheet
21,1732997221091,30/11/2024 20:07:01,1732997221091,0,30/11/2024 20:07:01,195194,10,task-wn3e,,41714907,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,12,passages,Sentences,3emlxf,1,response,space,9500.50000000003,9483.300000000017,9500.50000000003,9500.50000000003,9483.300000000017,9500.50000000003,1,9500.50000000003,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,11,"High consumption requires high productivity to meet the wants of people, and high productivity and high-level activity in marketing combined result in high employment.",1,Easy,2,1,,,,,,,,,,,,
22,1732997225820,30/11/2024 20:07:05,1732997225820,0,30/11/2024 20:07:05,195194,10,task-wn3e,,41714907,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,2,probe,Thought probe,muxvwp,1,response,yes,4746.499999999243,4733,4746.499999999243,4746.499999999243,4733,4746.499999999243,1,4746.499999999243,0,0,,Click Response,response,2,object-81,probe,,,,,,,,,,,,,,,,,,,,,
23,1732997235685,30/11/2024 20:07:15,1732997235685,0,30/11/2024 20:07:15,195194,10,task-wn3e,,41714907,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,13,passages,Sentences,3emlxf,1,response,space,9878.899999997753,9866.699999999983,9878.899999997753,9878.899999997753,9866.699999999983,9878.899999997753,1,9878.899999997753,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,1,12,Marketing is indirectly a key to a high economic level of living for the people.,0,Easy,2,1,,,,,,,,,,,,
24,1732997243717,30/11/2024 20:07:23,1732997243717,0,30/11/2024 20:07:23,195194,10,task-wn3e,,41714907,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,1,instr_comprehension,Comprehension instruction,ki2jxw,1,response,space,8043.799999999261,8033.200000000012,8043.799999999261,8043.799999999261,8033.200000000012,8043.799999999261,1,8043.799999999261,0,0,,Keyboard Response,Keyboard Response,2,object-78,instr_comprehension,,,,,,,,,,,,,,,,,,,,,
25,1732997253663,30/11/2024 20:07:33,1732997253663,0,30/11/2024 20:07:33,195194,10,task-wn3e,,41714907,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,1,comprehension,Comprehension questions,ers3wv,1,response,c,9956.399999999994,9948.899999999994,9956.399999999994,9956.399999999994,9948.899999999994,9956.399999999994,1,9956.399999999994,0,0,,Click Response,response C,4,object-68,comprehension,,,1,1,,,,,,Our economic well-being is determined largely by how many factors?,c,One,Two,Three,Four,Five,,,,,
26,1732997270460,30/11/2024 20:07:50,1732997270460,0,30/11/2024 20:07:50,195194,10,task-wn3e,,41714907,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,2,comprehension,Comprehension questions,ers3wv,1,response,d,16803.800000000745,16800,16803.800000000745,16803.800000000745,16800,16803.800000000745,1,16803.800000000745,0,0,,Click Response,response D,5,object-69,comprehension,,,1,2,,,,,,One major factor mentioned as affecting our economic well-being was,d,high wages,low interest rates,technology,employment,foreign trade,,,,,
27,1732997278905,30/11/2024 20:07:58,1732997278905,0,30/11/2024 20:07:58,195194,10,task-wn3e,,41714907,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,3,comprehension,Comprehension questions,ers3wv,1,response,d,8448.800000000745,8433,8448.800000000745,8448.800000000745,8433,8448.800000000745,1,8448.800000000745,0,0,,Click Response,response D,5,object-69,comprehension,,,1,3,,,,,,The purpose of this passage is to,d,persuade,guide,evaluate,inform,interest,,,,,
28,1732997286133,30/11/2024 20:08:06,1732997286133,0,30/11/2024 20:08:06,195194,10,task-wn3e,,41714907,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,4,comprehension,Comprehension questions,ers3wv,1,response,e,7243.599999997765,7233.399999999994,7243.599999997765,7243.599999997765,7233.399999999994,7243.599999997765,1,7243.599999997765,0,0,,Click Response,response E,6,object-70,comprehension,,,1,4,,,,,,The chief emphasis is on,e,defining marketing,principles of marketing,opportunities in marketing,kinds of jobs in marketing,the economic significance of marketing,,,,,
29,1732997290706,30/11/2024 20:08:10,1732997290706,0,30/11/2024 20:08:10,195194,10,task-wn3e,,41714907,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,14,passages,Sentences,3emlxf,1,response,space,4583.100000000006,4567.5,4583.100000000006,4583.100000000006,4567.5,4583.100000000006,1,4583.100000000006,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,0,Passage 2,0,Easy,2,1,,,,,,,,,,,,
30,1732997296937,30/11/2024 20:08:16,1732997296937,0,30/11/2024 20:08:16,195194,10,task-wn3e,,41714907,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,15,passages,Sentences,3emlxf,1,response,space,6247.100000000006,6233.100000000006,6247.100000000006,6247.100000000006,6233.100000000006,6247.100000000006,1,6247.100000000006,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,1,The possibility of life on Mars is not dismissed even by skeptics.,0,Easy,2,1,,,,,,,,,,,,
31,1732997304229,30/11/2024 20:08:24,1732997304229,0,30/11/2024 20:08:24,195194,10,task-wn3e,,41714907,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,16,passages,Sentences,3emlxf,1,response,space,7306.099999997765,7299.299999999988,7306.099999997765,7306.099999997765,7299.299999999988,7306.099999997765,1,7306.099999997765,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,2,They seem to share our hope that it is true.,0,Easy,2,1,,,,,,,,,,,,
32,1732997317932,30/11/2024 20:08:37,1732997317932,0,30/11/2024 20:08:37,195194,10,task-wn3e,,41714907,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,17,passages,Sentences,3emlxf,1,response,space,13709.099999998522,13700.5,13709.099999998522,13709.099999998522,13700.5,13709.099999998522,1,13709.099999998522,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,3,"So, it was disappointing when scientists studied photos from the early Mariner space flights in the mid-1960's.",0,Easy,2,1,,,,,,,,,,,,
33,1732997322541,30/11/2024 20:08:42,1732997322541,0,30/11/2024 20:08:42,195194,10,task-wn3e,,41714907,BLIND,12177482,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,Study,,0,Mind wandering task,2,Consent,Study,Eligible,Eligible_ag,Eligible_ed,Eligible_la,set1_easy,set1_easy,18,passages,Sentences,3emlxf,1,response,space,4617.200000000012,4599.900000000023,4617.200000000012,4617.200000000012,4599.900000000023,4617.200000000012,1,4617.200000000012,0,0,,Keyboard Response,keyboard response,2,object-21,passages,,,2,4,"They saw no canals, no seas, and no busy Martian engineers.",0,Easy,2,1,,,,,,,,,,,,
