Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: block,Spreadsheet: block_number_text,Spreadsheet: item,Spreadsheet: item_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: item_correct,Manipulation: Spreadsheet
21,1738316432879,31/01/2025 09:40:32,1738316432879,0,31/01/2025 09:40:32,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,8,block,item,iz4mgl,1,response,41,6066.200000000012,7716.100000000006,7728.200000000012,6066.200000000012,7716.100000000006,7728.200000000012,1,6066.200000000012,1662,0,,Single Number Entry,response,2,object-109,block,,,1,,4,14 + 27,1,Difficult,2,2,41,
22,1738316442706,31/01/2025 09:40:42,1738316442706,0,31/01/2025 09:40:42,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,9,block,item,iz4mgl,1,response,93,8516.300000000017,9832.899999999994,9838.600000000006,8516.300000000017,9832.899999999994,9838.600000000006,1,8516.300000000017,1322.2999999999884,0,,Single Number Entry,response,2,object-109,block,,,1,,5,19 + 74,0,Difficult,2,2,93,
23,1738316452536,31/01/2025 09:40:52,1738316452536,0,31/01/2025 09:40:52,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,10,block,item,iz4mgl,1,response,51,9082.900000000023,9833,9836.300000143063,9082.900000000023,9833,9836.300000143063,1,9082.900000000023,753.4000001430395,0,,Single Number Entry,response,2,object-109,block,,,1,,6,14 + 37,0,Difficult,2,2,51,
24,1738316470482,31/01/2025 09:41:10,1738316470482,0,31/01/2025 09:41:10,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,11,block,item,iz4mgl,1,response,65,17099.100000000006,17932.400000000023,17948.800000143063,17099.100000000006,17932.400000000023,17948.800000143063,1,17099.100000000006,849.700000143057,0,,Single Number Entry,response,2,object-109,block,,,1,,7,38 + 27,1,Difficult,2,2,65,
25,1738316477848,31/01/2025 09:41:17,1738316477848,0,31/01/2025 09:41:17,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,12,block,item,iz4mgl,1,response,85,6849.599999999977,7366.299999999988,7382.899999999994,6849.599999999977,7366.299999999988,7382.899999999994,1,6849.599999999977,533.3000000000175,0,,Single Number Entry,response,2,object-109,block,,,1,,8,49 + 36,0,Difficult,2,2,85,
26,1738316488079,31/01/2025 09:41:28,1738316488079,0,31/01/2025 09:41:28,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,13,block,item,iz4mgl,1,response,48,9666.200000000012,10232.899999999994,10247.700000047684,9666.200000000012,10232.899999999994,10247.700000047684,1,9666.200000000012,581.5000000476721,0,,Single Number Entry,response,2,object-109,block,,,1,,9,62 - 14,0,Difficult,2,2,48,
27,1738316501742,31/01/2025 09:41:41,1738316501742,0,31/01/2025 09:41:41,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,14,block,item,iz4mgl,1,response,27,13082.700000000012,13666,13677.000000095373,13082.700000000012,13666,13677.000000095373,1,13082.700000000012,594.3000000953616,0,,Single Number Entry,response,2,object-109,block,,,1,,10,83 - 56,0,Difficult,2,2,27,
28,1738316521880,31/01/2025 09:42:01,1738316521880,0,31/01/2025 09:42:01,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,15,block,item,iz4mgl,1,response,13,19849,20132.300000000017,20148.900000000023,19849,20132.300000000017,20148.900000000023,1,19849,299.9000000000233,0,,Single Number Entry,response,2,object-109,block,,,1,,11,92 - 79,0,Difficult,2,2,13,
29,1738316534237,31/01/2025 09:42:14,1738316534237,0,31/01/2025 09:42:14,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,2,probe,thought_probe,muxvwp,1,response,On Task,12374.500000047672,12365.899999999994,12374.500000047672,12374.500000047672,12365.899999999994,12374.500000047672,1,12374.500000047672,0,0,,Click Response,On Task,2,object-81,probe,,,1,,,,,,2,2,,
30,1738316547985,31/01/2025 09:42:27,1738316547985,0,31/01/2025 09:42:27,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,16,block,item,iz4mgl,1,response,28,12549.49999999997,13749.49999999997,13756.100000047678,12549.49999999997,13749.49999999997,13756.100000047678,1,12549.49999999997,1206.600000047707,0,,Single Number Entry,response,2,object-109,block,,,1,,12,67 - 39,0,Difficult,2,2,28,
31,1738316563040,31/01/2025 09:42:43,1738316563040,0,31/01/2025 09:42:43,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,17,block,item,iz4mgl,1,response,24,14715.900000000023,15049.400000000023,15061.30000009539,14715.900000000023,15049.400000000023,15061.30000009539,1,14715.900000000023,345.40000009536743,0,,Single Number Entry,response,2,object-109,block,,,1,,13,41 - 17,1,Difficult,2,2,24,
32,1738316568382,31/01/2025 09:42:48,1738316568382,0,31/01/2025 09:42:48,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,18,block,item,iz4mgl,1,response,47,4783.099999999977,5349.700000000012,5354.400000095367,4783.099999999977,5349.700000000012,5354.400000095367,1,4783.099999999977,571.3000000953907,0,,Single Number Entry,response,2,object-109,block,,,1,,14,86 - 39,0,Difficult,2,2,47,
33,1738316578809,31/01/2025 09:42:58,1738316578809,0,31/01/2025 09:42:58,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,19,block,item,iz4mgl,1,response,14,9766.299999999988,10416.299999999988,10431.099999952305,9766.299999999988,10416.299999999988,10431.099999952305,1,9766.299999999988,664.7999999523163,0,,Single Number Entry,response,2,object-109,block,,,1,,15,53 - 39,0,Difficult,2,2,14,
34,1738316584439,31/01/2025 09:43:04,1738316584439,0,31/01/2025 09:43:04,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,20,block,item,iz4mgl,1,response,34,5233,5632.900000000023,5645,5233,5632.900000000023,5645,1,5233,412,0,,Single Number Entry,response,2,object-109,block,,,1,,16,17 x 2,0,Difficult,2,2,34,
35,1738316615961,31/01/2025 09:43:35,1738316615961,0,31/01/2025 09:43:35,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,21,block,item,iz4mgl,1,response,126,30615.099999999977,31531.79999999999,31534.500000095344,30615.099999999977,31531.79999999999,31534.500000095344,1,30615.099999999977,919.4000000953674,0,,Single Number Entry,response,2,object-109,block,,,1,,17,18 x 7,0,Difficult,2,2,126,
36,1738316646394,31/01/2025 09:44:06,1738316646394,0,31/01/2025 09:44:06,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,22,block,item,iz4mgl,1,response,144,29165.29999999999,30432,30435.599999952305,29165.29999999999,30432,30435.599999952305,1,29165.29999999999,1270.2999999523163,0,,Single Number Entry,response,2,object-109,block,,,1,,18,9 x 16,0,Difficult,2,2,144,
37,1738316663319,31/01/2025 09:44:23,1738316663319,0,31/01/2025 09:44:23,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,23,block,item,iz4mgl,1,response,76,14549.200000000012,16915.70000000001,16928.500000047672,14549.200000000012,16915.70000000001,16928.500000047672,1,14549.200000000012,2379.3000000476604,0,,Single Number Entry,response,2,object-109,block,,,1,,19,19 x 4,0,Difficult,2,2,76,
38,1738316687863,31/01/2025 09:44:47,1738316687863,0,31/01/2025 09:44:47,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,24,block,item,iz4mgl,1,response,38,17849.29999999999,24548.79999999999,24557.399999952293,17849.29999999999,24548.79999999999,24557.399999952293,1,17849.29999999999,6708.099999952305,0,,Single Number Entry,response,2,object-109,block,,,1,,20,2 x 19,1,Difficult,2,2,38,
39,1738316707790,31/01/2025 09:45:07,1738316707790,0,31/01/2025 09:45:07,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,25,block,item,iz4mgl,1,response,96,19165.899999999965,19932.5,19935.500000047672,19165.899999999965,19932.5,19935.500000047672,1,19165.899999999965,769.600000047707,0,,Single Number Entry,response,2,object-109,block,,,1,,21,12 x 8,0,Difficult,2,2,96,
40,1738316710301,31/01/2025 09:45:10,1738316710301,0,31/01/2025 09:45:10,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,3,probe,thought_probe,muxvwp,1,response,On Task,2514.000000047672,2500,2514.000000047672,2514.000000047672,2500,2514.000000047672,1,2514.000000047672,0,0,,Click Response,On Task,2,object-81,probe,,,1,,,,,,2,2,,
41,1738316719595,31/01/2025 09:45:19,1738316719595,0,31/01/2025 09:45:19,209080,4,task-drth,,42926531,BLIND,12511603,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 132.0.0.0,1366x768,1358x642,,,0,Mind wandering task,9,set2,set2_dede_30,set2_dede_30,26,block,item,iz4mgl,1,response,45,5499.700000000012,9299.5,9307.40000014304,5499.700000000012,9299.5,9307.40000014304,1,5499.700000000012,3807.700000143028,0,,Single Number Entry,response,2,object-109,block,,,1,,22,3 x 15,0,Difficult,2,2,45,
