Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8dr8,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: instruct_num,Spreadsheet: instruct_text,Spreadsheet: block,Spreadsheet: block_number_text,Spreadsheet: item,Spreadsheet: item_text,Spreadsheet: probe,Spreadsheet: condition,Spreadsheet: condition_num,Spreadsheet: set,Spreadsheet: item_correct,Manipulation: Spreadsheet
27,1738238535827,30/01/2025 12:02:15,1738238535827,0,30/01/2025 12:02:15,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,14,block,item,iz4mgl,1,response,52,5300,7000,7005,5300,7000,7005,1,5300,1705,0,,Single Number Entry,response,2,object-109,block,,,1,,10,86 - 34,0,Easy,1,1,52,
28,1738238547860,30/01/2025 12:02:27,1738238547860,0,30/01/2025 12:02:27,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,15,block,item,iz4mgl,1,response,32,5717,12034,12038,5717,12034,12038,1,5717,6321,0,,Single Number Entry,response,2,object-109,block,,,1,,11,75 - 43,0,Easy,1,1,32,
29,1738238553609,30/01/2025 12:02:33,1738238553609,0,30/01/2025 12:02:33,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,2,probe,thought_probe,muxvwp,1,response,Unintentional,5754,5750,5754,5754,5750,5754,1,5754,0,0,,Click Response,Unintentional,4,object-84,probe,,,1,,,,,,1,1,,
30,1738238561076,30/01/2025 12:02:41,1738238561076,0,30/01/2025 12:02:41,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,16,block,item,iz4mgl,1,response,84,6117,7467,7470,6117,7467,7470,1,6117,1353,0,,Single Number Entry,response,2,object-109,block,,,1,,12,96 - 12,0,Easy,1,1,84,
31,1738238566843,30/01/2025 12:02:46,1738238566843,0,30/01/2025 12:02:46,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,17,block,item,iz4mgl,1,response,53,3434,5767,5771,3434,5767,5771,1,3434,2337,0,,Single Number Entry,response,2,object-109,block,,,1,,13,98 - 45,0,Easy,1,1,53,
32,1738238573443,30/01/2025 12:02:53,1738238573443,0,30/01/2025 12:02:53,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,18,block,item,iz4mgl,1,response,45,5833,6600,6604,5833,6600,6604,1,5833,771,0,,Single Number Entry,response,2,object-109,block,,,1,,14,69 - 24,0,Easy,1,1,45,
33,1738238580526,30/01/2025 12:03:00,1738238580526,0,30/01/2025 12:03:00,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,19,block,item,iz4mgl,1,response,47,5317,7083,7088.000000000029,5317,7083,7088.000000000029,0,5317,1771.000000000029,0,,Single Number Entry,response,2,object-109,block,,,1,,15,59 - 13,0,Easy,1,1,46,
34,1738238582959,30/01/2025 12:03:02,1738238582959,0,30/01/2025 12:03:02,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,20,block,item,iz4mgl,1,response,14,1500,2434,2438.000000000029,1500,2434,2438.000000000029,1,1500,938.0000000000291,0,,Single Number Entry,response,2,object-109,block,,,1,,16,7 x 2,0,Easy,1,1,14,
35,1738238586209,30/01/2025 12:03:06,1738238586209,0,30/01/2025 12:03:06,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,21,block,item,iz4mgl,1,response,18,2000,3250,3254,2000,3250,3254,1,2000,1254,0,,Single Number Entry,response,2,object-109,block,,,1,,17,6 x 3,0,Easy,1,1,18,
36,1738238588110,30/01/2025 12:03:08,1738238588110,0,30/01/2025 12:03:08,209080,4,task-idt7,,42891438,BLIND,12503190,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.1.1,1440x900,1440x848,,,0,Mind wandering task,9,set1,set1_eded_30,set1_eded_30,22,block,item,iz4mgl,1,response,12,1200,1900,1905.0000000000582,1200,1900,1905.0000000000582,1,1200,705.0000000000582,0,,Single Number Entry,response,2,object-109,block,,,1,,18,6 x 2,0,Easy,1,1,12,
